Section,FrameNo,InterLat,InterLon,InterAlt,FrameNoCalculated,Sub_Distance__km_,MeasuredChainage,ReferencePoints,Latitude__deg_,Longitude__deg_,GPS_position_is_calculated,ImageFilename
LEADIN,241,13.72969576,100.7404615,1.7934,242,1.222,-0.003341675,Start,13.729696,100.740462,FALSE,241.jpg
070101212F1,242,13.72970362,100.740507,1.799015,243,0.002,0.001667023,0+000,13.729704,100.740507,FALSE,242.jpg
070101212F1,243,13.72971147,100.7405524,1.78152,244,0.007,0.006679535,0+000,13.729711,100.740552,FALSE,243.jpg
070101212F1,244,13.72971935,100.7405978,1.76092,245,0.012,0.01167297,0+000,13.729719,100.740598,FALSE,244.jpg
070101212F1,245,13.72972787,100.7406427,1.78364,246,0.017,0.01668549,0+000,13.729728,100.740643,FALSE,245.jpg
070101212F1,246,13.72973674,100.7406877,1.79678,247,0.022,0.0216713,0+000,13.729737,100.740688,FALSE,246.jpg
070101212F1,247,13.72974655,100.7407333,1.78523,248,0.027,0.02667618,0+000,13.729747,100.740733,FALSE,247.jpg
070101212F1,248,13.72975674,100.7407789,1.786379569,249,0.032,0.03168488,0+000,13.729757,100.740779,FALSE,248.jpg
070101212F1,249,13.72976721,100.7408242,1.798007011,250,0.037,0.03672409,0+000,13.729767,100.740824,FALSE,249.jpg
070101212F1,250,13.72977889,100.7408687,1.804707646,251,0.042,0.04172897,0+000,13.729779,100.740869,FALSE,250.jpg
070101212F1,251,13.72979086,100.740913,1.810779221,252,0.047,0.04673386,0+000,13.729791,100.740913,FALSE,251.jpg
070101212F1,252,13.7298034,100.7409575,1.822177822,253,0.052,0.05174255,0+000,13.729803,100.740957,FALSE,252.jpg
070101212F1,253,13.72981633,100.7410019,1.813755,254,0.057,0.05674744,0+000,13.729816,100.741002,FALSE,253.jpg
070101212F1,254,13.72983008,100.741046,1.762185,255,0.062,0.06176758,0+000,13.72983,100.741046,FALSE,254.jpg
070101212F1,255,13.72984443,100.74109,1.804832416,256,0.067,0.06676483,0+000,13.729844,100.74109,FALSE,255.jpg
070101212F1,256,13.72985929,100.741134,1.919189595,257,0.072,0.07177353,0+000,13.729859,100.741134,FALSE,256.jpg
070101212F1,257,13.7298742,100.7411772,1.911844078,258,0.077,0.07677841,0+000,13.729874,100.741177,FALSE,257.jpg
070101212F1,258,13.72988923,100.7412203,1.88043978,259,0.082,0.08177948,0+000,13.729889,100.74122,FALSE,258.jpg
070101212F1,259,13.72990544,100.7412637,1.886226887,260,0.087,0.0867691,0+000,13.729905,100.741264,FALSE,259.jpg
070101212F1,260,13.72992159,100.7413073,1.87963964,261,0.092,0.09178543,0+000,13.729922,100.741307,FALSE,260.jpg
070101212F1,261,13.72993731,100.7413504,1.850535536,262,0.097,0.09680176,0+000,13.729937,100.74135,FALSE,261.jpg
070101212F1,262,13.7299528,100.7413943,1.80007,263,0.102,0.1018295,0+000,13.729953,100.741394,FALSE,262.jpg
070101212F1,263,13.72996812,100.7414386,1.737645,264,0.107,0.1068535,0+000,13.729968,100.741439,FALSE,263.jpg
070101212F1,264,13.72998281,100.7414824,1.715224775,265,0.112,0.1118431,0+000,13.729983,100.741482,FALSE,264.jpg
070101212F1,265,13.72999743,100.7415263,1.703301651,266,0.117,0.1168785,0+000,13.729997,100.741526,FALSE,265.jpg
070101212F1,266,13.73001189,100.7415697,1.736678339,267,0.122,0.1218758,0+000,13.730012,100.74157,FALSE,266.jpg
070101212F1,267,13.73002648,100.7416131,1.777241379,268,0.127,0.126873,0+000,13.730026,100.741613,FALSE,267.jpg
070101212F1,268,13.73004127,100.7416563,1.834112944,269,0.132,0.1318512,0+000,13.730041,100.741656,FALSE,268.jpg
070101212F1,269,13.73005679,100.7416991,1.882785,270,0.137,0.1368217,0+000,13.730057,100.741699,FALSE,269.jpg
070101212F1,270,13.73007316,100.7417422,1.92524,271,0.142,0.1417923,0+000,13.730073,100.741742,FALSE,270.jpg
070101212F1,271,13.7300902,100.7417847,1.92437,272,0.147,0.1467667,0+000,13.73009,100.741785,FALSE,271.jpg
070101212F1,272,13.7301074,100.7418274,1.92864,273,0.152,0.1517258,0+000,13.730107,100.741827,FALSE,272.jpg
070101212F1,273,13.73012446,100.7418697,1.95594,274,0.157,0.1566887,0+000,13.730124,100.74187,FALSE,273.jpg
070101212F1,274,13.73014244,100.7419118,2.003225,275,0.162,0.1616592,0+000,13.730142,100.741912,FALSE,274.jpg
070101212F1,275,13.7301602,100.7419541,2.033726863,276,0.167,0.1665993,0+000,13.73016,100.741954,FALSE,275.jpg
070101212F1,276,13.73017749,100.7419964,2.041835918,277,0.171,0.1714973,0+000,13.730177,100.741996,FALSE,276.jpg
070101212F1,277,13.73019497,100.7420384,2.05,278,0.176,0.1763535,0+000,13.730195,100.742038,FALSE,277.jpg
070101212F1,278,13.73021257,100.7420786,2.055944862,279,0.181,0.1811829,0+000,13.730213,100.742079,FALSE,278.jpg
070101212F1,279,13.7302305,100.7421209,2.098501499,280,0.186,0.1859474,0+000,13.730231,100.742121,FALSE,279.jpg
070101212F1,280,13.73024724,100.7421625,2.100605,281,0.191,0.1907349,0+000,13.730247,100.742162,FALSE,280.jpg
070101212F1,281,13.73026573,100.7422055,2.13,282,0.196,0.1964912,0+000,13.730266,100.742205,FALSE,281.jpg
070101212F1,282,13.73028528,100.7422499,2.02816,283,0.201,0.201416,0+000,13.730285,100.74225,FALSE,282.jpg
070101212F1,283,13.73030308,100.7422915,1.94615,284,0.206,0.2063637,0+000,13.730303,100.742291,FALSE,283.jpg
070101212F1,284,13.73032153,100.7423332,1.888155922,285,0.211,0.2113571,0+000,13.730322,100.742333,FALSE,284.jpg
070101212F1,285,13.73034086,100.7423745,1.862241121,286,0.216,0.2163582,0+000,13.730341,100.742375,FALSE,285.jpg
070101212F1,286,13.73036346,100.742415,1.866936937,287,0.221,0.2213707,0+000,13.730363,100.742415,FALSE,286.jpg
070101212F1,287,13.73039159,100.7424508,1.75227,288,0.227,0.2265015,0+000,13.730392,100.742451,FALSE,287.jpg
070101212F1,288,13.73042506,100.7424812,1.631321321,289,0.232,0.2315941,0+000,13.730425,100.742481,FALSE,288.jpg
070101212F1,289,13.73046388,100.7425041,1.56111944,290,0.237,0.2366219,0+000,13.730464,100.742504,FALSE,289.jpg
070101212F1,290,13.73050497,100.7425228,1.462803598,291,0.242,0.2416,0+000,13.730505,100.742523,FALSE,290.jpg
070101212F1,291,13.73054603,100.7425422,1.3238,292,0.247,0.2465706,0+000,13.730546,100.742542,FALSE,291.jpg
070101212F1,292,13.73058416,100.7425667,1.190315158,293,0.252,0.251564,0+000,13.730584,100.742567,FALSE,292.jpg
070101212F1,293,13.73061771,100.7426002,1.143526474,294,0.257,0.2566376,0+000,13.730618,100.7426,FALSE,293.jpg
070101212F1,294,13.73064426,100.7426395,1.164534535,295,0.262,0.2616882,0+000,13.730644,100.74264,FALSE,294.jpg
070101212F1,295,13.73066437,100.7426814,1.177321339,296,0.267,0.2667046,0+000,13.730664,100.742681,FALSE,295.jpg
070101212F1,296,13.7306789,100.7427258,1.19272,297,0.272,0.2717285,0+000,13.730679,100.742726,FALSE,296.jpg
070101212F1,297,13.73068819,100.7427712,1.189535232,298,0.277,0.2767372,0+000,13.730688,100.742771,FALSE,297.jpg
070101212F1,298,13.73069323,100.7428178,1.18821,299,0.001,0.2817497,1+000,13.730693,100.742818,FALSE,298.jpg
070101212F1,299,13.73069559,100.7428644,1.197031484,300,0.006,0.2867584,1+000,13.730696,100.742864,FALSE,299.jpg
070101212F1,300,13.73069736,100.7429106,1.191805903,301,0.011,0.2917786,1+000,13.730697,100.742911,FALSE,300.jpg
070101212F1,301,13.73069905,100.742957,1.2,302,0.016,0.2968369,1+000,13.730699,100.742957,FALSE,301.jpg
070101212F1,302,13.73069988,100.7430035,1.2,303,0.021,0.3018761,1+000,13.7307,100.743003,FALSE,302.jpg
070101212F1,303,13.73070067,100.7430505,1.213496748,304,0.026,0.3069191,1+000,13.730701,100.74305,FALSE,303.jpg
070101212F1,304,13.73070143,100.7430968,1.228654327,305,0.031,0.3119431,1+000,13.730701,100.743097,FALSE,304.jpg
070101212F1,305,13.73070218,100.7431429,1.245292354,306,0.036,0.3169479,1+000,13.730702,100.743143,FALSE,305.jpg
070101212F1,306,13.73070292,100.7431891,1.267646177,307,0.041,0.3219299,1+000,13.730703,100.743189,FALSE,306.jpg
070101212F1,307,13.73070369,100.7432345,1.27687,308,0.046,0.3269043,1+000,13.730704,100.743235,FALSE,307.jpg
070101212F1,308,13.73070496,100.7432805,1.28964,309,0.051,0.3318901,1+000,13.730705,100.74328,FALSE,308.jpg
070101212F1,309,13.73070661,100.7433267,1.296955,310,0.056,0.3368835,1+000,13.730707,100.743327,FALSE,309.jpg
070101212F1,310,13.73070815,100.7433729,1.28850075,311,0.061,0.3418541,1+000,13.730708,100.743373,FALSE,310.jpg
070101212F1,311,13.73070906,100.7434195,1.280580871,312,0.066,0.3468475,1+000,13.730709,100.743419,FALSE,311.jpg
070101212F1,312,13.73071087,100.7434658,1.298748122,313,0.071,0.3518257,1+000,13.730711,100.743466,FALSE,312.jpg
070101212F1,313,13.73071188,100.7435114,1.432467532,314,0.076,0.3567505,1+000,13.730712,100.743511,FALSE,313.jpg
070101212F1,314,13.73071387,100.7435571,1.45,315,0.081,0.3616791,1+000,13.730714,100.743557,FALSE,314.jpg
070101212F1,315,13.730715,100.7436027,1.44,316,0.086,0.366581,1+000,13.730715,100.743603,FALSE,315.jpg
070101212F1,316,13.7307156,100.7436483,1.445952976,317,0.091,0.3715439,1+000,13.730716,100.743648,FALSE,316.jpg
070101212F1,317,13.730717,100.7436944,1.467358679,318,0.096,0.3766174,1+000,13.730717,100.743694,FALSE,317.jpg
070101212F1,318,13.730717,100.7437421,1.476968484,319,0.101,0.3817749,1+000,13.730717,100.743742,FALSE,318.jpg
