Section,FrameNo,InterLat,InterLon,InterAlt,FrameNoCalculated,Sub_Distance__km_,MeasuredChainage,ReferencePoints,Latitude__deg_,Longitude__deg_,GPS_position_is_calculated,ImageFilename
0000413F01,471,13.70523025,100.5889726,9.179034517,472,2.371,-0.000598908,Start,13.70523,100.588973,FALSE,471.jpg
0000413F01,472,13.70519279,100.5889985,9.187548774,473,0.004,0.00440979,Chaloem Maha Nakhon Expressway,13.705193,100.588999,FALSE,472.jpg
0000413F01,473,13.70515563,100.5890248,9.199092722,474,0.009,0.009414673,Chaloem Maha Nakhon Expressway,13.705156,100.589025,FALSE,473.jpg
0000413F01,474,13.70511838,100.5890513,9.211939182,475,0.014,0.0144043,Chaloem Maha Nakhon Expressway,13.705118,100.589051,FALSE,474.jpg
0000413F01,475,13.70508052,100.5890772,9.226579739,476,0.019,0.01940918,Chaloem Maha Nakhon Expressway,13.705081,100.589077,FALSE,475.jpg
0000413F01,476,13.70504213,100.5891016,9.244032096,477,0.024,0.02438736,Chaloem Maha Nakhon Expressway,13.705042,100.589102,FALSE,476.jpg
0000413F01,477,13.70500331,100.5891261,9.25917959,478,0.029,0.02939224,Chaloem Maha Nakhon Expressway,13.705003,100.589126,FALSE,477.jpg
0000413F01,478,13.70496346,100.5891482,9.250325163,479,0.034,0.03441238,Chaloem Maha Nakhon Expressway,13.704963,100.589148,FALSE,478.jpg
0000413F01,479,13.70492366,100.5891703,9.24148074,480,0.039,0.03940964,Chaloem Maha Nakhon Expressway,13.704924,100.58917,FALSE,479.jpg
0000413F01,480,13.70488338,100.5891917,9.214135,481,0.044,0.04441452,Chaloem Maha Nakhon Expressway,13.704883,100.589192,FALSE,480.jpg
0000413F01,481,13.70484297,100.589213,9.183055,482,0.049,0.04941177,Chaloem Maha Nakhon Expressway,13.704843,100.589213,FALSE,481.jpg
0000413F01,482,13.70480227,100.5892343,9.308191808,483,0.054,0.05442429,Chaloem Maha Nakhon Expressway,13.704802,100.589234,FALSE,482.jpg
0000413F01,483,13.70476141,100.5892554,9.546188811,484,0.059,0.05944061,Chaloem Maha Nakhon Expressway,13.704761,100.589255,FALSE,483.jpg
0000413F01,484,13.70472092,100.5892766,9.785405405,485,0.064,0.06442261,Chaloem Maha Nakhon Expressway,13.704721,100.589277,FALSE,484.jpg
0000413F01,485,13.70468043,100.5892984,10.03108108,486,0.069,0.06944656,Chaloem Maha Nakhon Expressway,13.70468,100.589298,FALSE,485.jpg
0000413F01,486,13.7046401,100.5893197,10.17899804,487,0.074,0.07444763,Chaloem Maha Nakhon Expressway,13.70464,100.58932,FALSE,486.jpg
0000413F01,487,13.70460113,100.5893376,9.775854617,488,0.079,0.07943344,Chaloem Maha Nakhon Expressway,13.704601,100.589338,FALSE,487.jpg
0000413F01,488,13.70456173,100.5893557,9.368290766,489,0.084,0.08444595,Chaloem Maha Nakhon Expressway,13.704562,100.589356,FALSE,488.jpg
0000413F01,489,13.70452069,100.5893766,9.261639511,490,0.089,0.08942413,Chaloem Maha Nakhon Expressway,13.704521,100.589377,FALSE,489.jpg
0000413F01,490,13.70447902,100.5893979,9.176405295,491,0.094,0.09444046,Chaloem Maha Nakhon Expressway,13.704479,100.589398,FALSE,490.jpg
0000413F01,491,13.70443828,100.5894189,9.12991009,492,0.099,0.09944534,Chaloem Maha Nakhon Expressway,13.704438,100.589419,FALSE,491.jpg
0000413F01,492,13.70439769,100.5894399,9.092587413,493,0.104,0.104435,Chaloem Maha Nakhon Expressway,13.704398,100.58944,FALSE,492.jpg
0000413F01,493,13.70435701,100.5894605,9.036066066,494,0.109,0.1094513,Chaloem Maha Nakhon Expressway,13.704357,100.58946,FALSE,493.jpg
0000413F01,494,13.70431655,100.5894807,8.9702002,495,0.114,0.1144409,Chaloem Maha Nakhon Expressway,13.704317,100.589481,FALSE,494.jpg
0000413F01,495,13.70427686,100.5895024,9.228688689,496,0.119,0.1194725,Chaloem Maha Nakhon Expressway,13.704277,100.589502,FALSE,495.jpg
0000413F01,496,13.70423837,100.5895249,9.754494494,497,0.125,0.1245003,Chaloem Maha Nakhon Expressway,13.704238,100.589525,FALSE,496.jpg
0000413F01,497,13.70419921,100.5895467,10.01850299,498,0.13,0.1295204,Chaloem Maha Nakhon Expressway,13.704199,100.589547,FALSE,497.jpg
0000413F01,498,13.70415875,100.5895676,9.918493014,499,0.135,0.1345863,Chaloem Maha Nakhon Expressway,13.704159,100.589568,FALSE,498.jpg
0000413F01,499,13.70411892,100.5895882,9.8228,500,0.14,0.1396103,Chaloem Maha Nakhon Expressway,13.704119,100.589588,FALSE,499.jpg
0000413F01,500,13.7040777,100.5896097,9.7351,501,0.145,0.1446533,Chaloem Maha Nakhon Expressway,13.704078,100.58961,FALSE,500.jpg
0000413F01,501,13.70403732,100.5896307,9.6492,502,0.15,0.1496544,Chaloem Maha Nakhon Expressway,13.704037,100.589631,FALSE,501.jpg
0000413F01,502,13.70399606,100.5896513,9.548605697,503,0.155,0.1546898,Chaloem Maha Nakhon Expressway,13.703996,100.589651,FALSE,502.jpg
0000413F01,503,13.70395515,100.5896715,9.447376312,504,0.16,0.1597137,Chaloem Maha Nakhon Expressway,13.703955,100.589672,FALSE,503.jpg
0000413F01,504,13.70391455,100.5896918,9.318189095,505,0.165,0.1647339,Chaloem Maha Nakhon Expressway,13.703915,100.589692,FALSE,504.jpg
0000413F01,505,13.70387418,100.5897122,9.164192096,506,0.17,0.1697426,Chaloem Maha Nakhon Expressway,13.703874,100.589712,FALSE,505.jpg
0000413F01,506,13.70383406,100.5897329,9.020015015,507,0.175,0.1747398,Chaloem Maha Nakhon Expressway,13.703834,100.589733,FALSE,506.jpg
0000413F01,507,13.70379478,100.5897563,8.940610611,508,0.18,0.1797638,Chaloem Maha Nakhon Expressway,13.703795,100.589756,FALSE,507.jpg
0000413F01,508,13.70375549,100.5897797,8.861206206,509,0.185,0.1847687,Chaloem Maha Nakhon Expressway,13.703755,100.58978,FALSE,508.jpg
0000413F01,509,13.70371734,100.5898047,8.787757758,510,0.19,0.1897621,Chaloem Maha Nakhon Expressway,13.703717,100.589805,FALSE,509.jpg
0000413F01,510,13.70367937,100.5898305,8.716031031,511,0.195,0.1947556,Chaloem Maha Nakhon Expressway,13.703679,100.58983,FALSE,510.jpg
0000413F01,511,13.70364253,100.5898575,8.67,512,0.2,0.1997452,Chaloem Maha Nakhon Expressway,13.703643,100.589857,FALSE,511.jpg
0000413F01,512,13.70360792,100.5898865,8.67,513,0.205,0.2047386,Chaloem Maha Nakhon Expressway,13.703608,100.589887,FALSE,512.jpg
0000413F01,513,13.70357299,100.5899161,8.679095452,514,0.21,0.2097473,Chaloem Maha Nakhon Expressway,13.703573,100.589916,FALSE,513.jpg
