Section,FrameNo,InterLat,InterLon,InterAlt,FrameNoCalculated,Sub_Distance__km_,MeasuredChainage,ReferencePoints,Latitude__deg_,Longitude__deg_,GPS_position_is_calculated,ImageFilename
LEADIN,191,13.91438598,100.7022367,2.564764765,192,0.967,-0.002307892,Start,13.914386,100.702237,FALSE,191.jpg
0202213R02,192,13.91434461,100.7022168,2.56968969,193,0.003,0.002719879,Highway No.9,13.914345,100.702217,FALSE,192.jpg
0202213R02,193,13.91430366,100.702197,2.574564565,194,0.008,0.007698059,Highway No.9,13.914304,100.702197,FALSE,193.jpg
0202213R02,194,13.91426212,100.702177,2.57950951,195,0.013,0.0127449,Highway No.9,13.914262,100.702177,FALSE,194.jpg
0202213R02,195,13.91422116,100.7021577,2.575614386,196,0.018,0.01774597,Highway No.9,13.914221,100.702158,FALSE,195.jpg
0202213R02,196,13.91417996,100.7021383,2.570709291,197,0.023,0.02275467,Highway No.9,13.91418,100.702138,FALSE,196.jpg
0202213R02,197,13.91413909,100.7021191,2.565844156,198,0.028,0.02773285,Highway No.9,13.914139,100.702119,FALSE,197.jpg
0202213R02,198,13.91409789,100.7020997,2.560939061,199,0.033,0.03274918,Highway No.9,13.914098,100.7021,FALSE,198.jpg
0202213R02,199,13.9140566,100.7020798,2.55,200,0.038,0.03778458,Highway No.9,13.914057,100.70208,FALSE,199.jpg
0202213R02,200,13.91401602,100.7020601,2.53785,201,0.043,0.04275513,Highway No.9,13.914016,100.70206,FALSE,200.jpg
0202213R02,201,13.91397494,100.7020402,2.52555,202,0.048,0.04779053,Highway No.9,13.913975,100.70204,FALSE,201.jpg
0202213R02,202,13.91393411,100.7020204,2.513325,203,0.053,0.05279541,Highway No.9,13.913934,100.70202,FALSE,202.jpg
0202213R02,203,13.9138946,100.7020011,2.503197674,204,0.058,0.05775833,Highway No.9,13.913895,100.702001,FALSE,203.jpg
0202213R02,204,13.91385447,100.7019813,2.493585271,205,0.063,0.06282806,Highway No.9,13.913854,100.701981,FALSE,204.jpg
0202213R02,205,13.91381498,100.701962,2.484127907,206,0.068,0.06784439,Highway No.9,13.913815,100.701962,FALSE,205.jpg
0202213R02,206,13.91377558,100.7019426,2.474689922,207,0.073,0.0728302,Highway No.9,13.913776,100.701943,FALSE,206.jpg
0202213R02,207,13.91373474,100.7019224,2.473842975,208,0.078,0.07785797,Highway No.9,13.913735,100.701922,FALSE,207.jpg
