Section,InterLat,InterLon,InterAlt,FrameNoCalculated,Sub_Distance__km_,MeasuredChainage,ReferencePoints,Latitude__deg_,Longitude__deg_,GPS_position_is_calculated,ImageFilename
LEADIN,13.64130087,100.6802384,4.232932668,262,1.315,-0.003061295,Kanchanapisak Expressway,13.641301,100.680238,FALSE,261.jpg
0401302R05,13.64133936,100.6802594,4.122385965,263,0.002,0.001582146,Kanchanapisak Expressway,13.641339,100.680259,FALSE,262.jpg
0401302R05,13.64137945,100.68028,4.005172586,264,0.007,0.006897926,Kanchanapisak Expressway,13.641379,100.68028,FALSE,263.jpg
0401302R05,13.64142334,100.6803034,3.851815908,265,0.012,0.01215267,Kanchanapisak Expressway,13.641423,100.680303,FALSE,264.jpg
0401302R05,13.64146324,100.6803268,3.702578711,266,0.017,0.01721478,Kanchanapisak Expressway,13.641463,100.680327,FALSE,265.jpg
0401302R05,13.64150256,100.6803501,3.60432,267,0.022,0.0222826,Kanchanapisak Expressway,13.641503,100.68035,FALSE,266.jpg
0401302R05,13.64154203,100.6803741,3.371172962,268,0.027,0.02742386,Kanchanapisak Expressway,13.641542,100.680374,FALSE,267.jpg
0401302R05,13.64158015,100.6803974,3.090531062,269,0.033,0.03253555,Kanchanapisak Expressway,13.64158,100.680397,FALSE,268.jpg
0401302R05,13.64161999,100.6804207,3.049318637,270,0.038,0.03762627,Kanchanapisak Expressway,13.64162,100.680421,FALSE,269.jpg
0401302R05,13.64166044,100.6804439,3.025489704,271,0.043,0.04268837,Kanchanapisak Expressway,13.64166,100.680444,FALSE,270.jpg
0401302R05,13.64170031,100.6804662,3.010900946,272,0.048,0.04772091,Kanchanapisak Expressway,13.6417,100.680466,FALSE,271.jpg
0401302R05,13.64174118,100.6804873,3.016739671,273,0.053,0.05275154,Kanchanapisak Expressway,13.641741,100.680487,FALSE,272.jpg
0401302R05,13.64178186,100.6805077,3.000150678,274,0.058,0.05779362,Kanchanapisak Expressway,13.641782,100.680508,FALSE,273.jpg
