Section,FrameNo,InterLat,InterLon,InterAlt,FrameNoCalculated,Sub_Distance__km_,MeasuredChainage,ReferencePoints,Latitude__deg_,Longitude__deg_,GPS_position_is_calculated,ImageFilename
LEADIN,213,13.57604824,100.8937927,19.3402001,214,1.074,0,Start,13.576048,100.893793,FALSE,213.jpg
0501312F03,214,13.5760411,100.8938387,19.34985007,215,0.005,0.005027771,Burapha Withi Expressway,13.576041,100.893839,FALSE,214.jpg
0501312F03,215,13.57603404,100.8938844,19.35994003,216,0.01,0.01005173,Burapha Withi Expressway,13.576034,100.893884,FALSE,215.jpg
0501312F03,216,13.57602702,100.8939299,19.36997001,217,0.015,0.01505661,Burapha Withi Expressway,13.576027,100.89393,FALSE,216.jpg
0501312F03,217,13.57602133,100.8939757,19.40003002,218,0.02,0.02007675,Burapha Withi Expressway,13.576021,100.893976,FALSE,217.jpg
0501312F03,218,13.57601567,100.8940213,19.42996998,219,0.025,0.02507782,Burapha Withi Expressway,13.576016,100.894021,FALSE,218.jpg
0501312F03,219,13.57601,100.894067,19.46,220,0.03,0.03010178,Burapha Withi Expressway,13.57601,100.894067,FALSE,219.jpg
0501312F03,220,13.57600435,100.8941129,19.476625,221,0.035,0.03511429,Burapha Withi Expressway,13.576004,100.894113,FALSE,220.jpg
0501312F03,221,13.57599874,100.8941584,19.493125,222,0.04,0.04009628,Burapha Withi Expressway,13.575999,100.894158,FALSE,221.jpg
0501312F03,222,13.57599309,100.8942043,19.50975,223,0.045,0.04513168,Burapha Withi Expressway,13.575993,100.894204,FALSE,222.jpg
0501312F03,223,13.57598745,100.8942504,19.53612,224,0.05,0.05015182,Burapha Withi Expressway,13.575987,100.89425,FALSE,223.jpg
0501312F03,224,13.57598186,100.8942961,19.56244,225,0.055,0.05512619,Burapha Withi Expressway,13.575982,100.894296,FALSE,224.jpg
0501312F03,225,13.5759762,100.8943423,19.58904,226,0.06,0.06014633,Burapha Withi Expressway,13.575976,100.894342,FALSE,225.jpg
0501312F03,226,13.5759696,100.8943882,19.54517483,227,0.065,0.06515503,Burapha Withi Expressway,13.57597,100.894388,FALSE,226.jpg
0501312F03,227,13.57596296,100.894434,19.49874126,228,0.07,0.07014084,Burapha Withi Expressway,13.575963,100.894434,FALSE,227.jpg
0501312F03,228,13.57595624,100.8944803,19.45167832,229,0.075,0.07517242,Burapha Withi Expressway,13.575956,100.89448,FALSE,228.jpg
0501312F03,229,13.57594856,100.894526,19.40796797,230,0.08,0.08017731,Burapha Withi Expressway,13.575949,100.894526,FALSE,229.jpg
0501312F03,230,13.57594087,100.8945714,19.3645045,231,0.085,0.0851593,Burapha Withi Expressway,13.575941,100.894571,FALSE,230.jpg
0501312F03,231,13.57593312,100.8946173,19.32065065,232,0.09,0.09018326,Burapha Withi Expressway,13.575933,100.894617,FALSE,231.jpg
0501312F03,232,13.57592439,100.8946627,19.25704648,233,0.095,0.09518814,Burapha Withi Expressway,13.575924,100.894663,FALSE,232.jpg
0501312F03,233,13.57591563,100.8947082,19.19304848,234,0.1,0.1001892,Burapha Withi Expressway,13.575916,100.894708,FALSE,233.jpg
0501312F03,234,13.57590684,100.8947538,19.12825826,235,0.105,0.1052055,Burapha Withi Expressway,13.575907,100.894754,FALSE,234.jpg
