Section,FrameNo,InterLat,InterLon,InterAlt,FrameNoCalculated,Sub_Distance__km_,MeasuredChainage,ReferencePoints,Latitude__deg_,Longitude__deg_,GPS_position_is_calculated,ImageFilename
0102100F02,1693,13.72075483,100.5217299,193.1656674,1694,0.004,6.439919,km 8+900,13.72144,100.522015,FALSE,1693.jpg
0102100F02,1694,13.72071627,100.5217066,193.3171163,1695,0.009,6.444923,km 8+900,13.721402,100.521992,FALSE,1694.jpg
0102100F02,1695,13.72067772,100.5216834,193.4685652,1696,0.014,6.449936,km 8+900,13.721364,100.521969,FALSE,1695.jpg
0102100F02,1696,13.72063917,100.5216602,193.6200141,1697,0.019,6.454926,km 8+900,13.721326,100.521946,FALSE,1696.jpg
0102100F02,1697,13.72060062,100.521637,193.771463,1698,0.024,6.45993,km 8+900,13.721288,100.521923,FALSE,1697.jpg
0102100F02,1698,13.72056207,100.5216137,193.9229119,1699,0.029,6.46492,km 8+900,13.72125,100.5219,FALSE,1698.jpg
0102100F02,1699,13.72052352,100.5215905,194.0743608,1700,0.034,6.469902,km 8+900,13.721212,100.521877,FALSE,1699.jpg
0102100F02,1700,13.72048496,100.5215673,194.2258097,1701,0.039,6.474899,km 8+900,13.721174,100.521854,FALSE,1700.jpg
0102100F02,1701,13.72044641,100.521544,194.3772586,1702,0.044,6.479897,km 8+900,13.721136,100.521831,FALSE,1701.jpg
0102100F02,1702,13.72040786,100.5215208,194.5287075,1703,0.049,6.484886,km 8+900,13.721098,100.521808,FALSE,1702.jpg
0102100F02,1703,13.72036931,100.5214976,194.6801564,1704,0.054,6.489891,km 8+900,13.72106,100.521785,FALSE,1703.jpg
0102100F02,1704,13.72033076,100.5214743,194.8316053,1705,0.059,6.494904,km 8+900,13.721022,100.521762,FALSE,1704.jpg
0102100F02,1705,13.72029221,100.5214511,194.9830542,1706,0.064,6.499939,km 8+900,13.720984,100.521739,FALSE,1705.jpg
0102100F02,1706,13.72025365,100.5214279,195.1345031,1707,0.069,6.504982,km 8+900,13.720946,100.521716,FALSE,1706.jpg
0102100F02,1707,13.7202151,100.5214047,195.285952,1708,0.074,6.51004,km 8+900,13.720908,100.521693,FALSE,1707.jpg
0102100F02,1708,13.72017655,100.5213814,195.4374009,1709,0.079,6.515076,km 8+900,13.72087,100.52167,FALSE,1708.jpg
