Section,FrameNo,InterLat,InterLon,InterAlt,FrameNoCalculated,Sub_Distance__km_,MeasuredChainage,ReferencePoints,Latitude__deg_,Longitude__deg_,GPS_position_is_calculated,ImageFilename
LEADIN,405,13.67290565,100.6077738,10.67798216,406,2.034,0,Start,13.672906,100.607774,FALSE,405.jpg
0102100R01,406,13.67292108,100.6077159,3.562862045,407,0.005,0.00501442,km 16+800,13.672921,100.607716,FALSE,406.jpg
0102100R01,407,13.67293652,100.6076581,-3.552258065,408,0.01,0.01002407,km 16+800,13.672936,100.607658,FALSE,407.jpg
0102100R01,408,13.67295195,100.6076002,-10.66737817,409,0.015,0.0150404,km 16+800,13.672951,100.6076,FALSE,408.jpg
0102100R01,409,13.67296738,100.6075423,-17.78249828,410,0.02,0.02005672,km 16+800,13.672966,100.607542,FALSE,409.jpg
0102100R01,410,13.67298281,100.6074845,-24.89761839,411,0.025,0.02507305,km 16+800,13.672981,100.607484,FALSE,410.jpg
0102100R01,411,13.67299824,100.6074266,-32.0127385,412,0.03,0.03008842,km 16+800,13.672996,100.607426,FALSE,411.jpg
0102100R01,412,13.67301367,100.6073687,-39.12785861,413,0.035,0.03510475,km 16+800,13.673011,100.607368,FALSE,412.jpg
0102100R01,413,13.67302911,100.6073109,-46.24297872,414,0.04,0.04010868,km 16+800,13.673026,100.60731,FALSE,413.jpg
0102100R01,414,13.67304454,100.607253,-53.35809883,415,0.045,0.04512501,km 16+800,13.673041,100.607252,FALSE,414.jpg
0102100R01,415,13.67305997,100.6071951,-60.47321894,416,0.05,0.05012798,km 16+800,13.673056,100.607194,FALSE,415.jpg
0102100R01,416,13.6730754,100.6071372,-67.58833905,417,0.055,0.05515575,km 16+800,13.673071,100.607136,FALSE,416.jpg
0102100R01,417,13.67309083,100.6070794,-74.70345916,418,0.06,0.06016064,km 16+800,13.673086,100.607078,FALSE,417.jpg
0102100R01,418,13.67310626,100.6070215,-81.81857927,419,0.065,0.06516552,km 16+800,13.673101,100.60702,FALSE,418.jpg
0102100R01,419,13.6731217,100.6069636,-88.93369938,420,0.07,0.07018185,km 16+800,13.673116,100.606962,FALSE,419.jpg
0102100R01,420,13.67313713,100.6069058,-96.04881949,421,0.075,0.07520962,km 16+800,13.673131,100.606904,FALSE,420.jpg
0102100R01,421,13.67315256,100.6068479,-103.1639396,422,0.08,0.08022785,km 16+800,13.673146,100.606846,FALSE,421.jpg
0102100R01,422,13.67316799,100.60679,-110.2790597,423,0.085,0.08524418,km 16+800,13.673161,100.606788,FALSE,422.jpg
