Section,Distance (km),Sub Distance (km),,Latitude,Longitude
0101100F02,72.916,1.005,0.263333321,13.770373,100.5515583
0101100F02,72.921,1.01,0.25999999,13.7703328,100.5515363
0101100F02,72.926,1.015,0.254999995,13.7702927,100.5515144
0101100F02,72.931,1.02,0.270000011,13.7702528,100.5514927
0101100F02,72.936,1.025,0.284999996,13.7702125,100.5514708
0101100F02,72.941,1.03,0.280000001,13.7701723,100.551449
0101100F02,72.946,1.035,0.286666662,13.7701326,100.5514274
0101100F02,72.951,1.04,0.289999992,13.7700926,100.5514057
0101100F02,72.956,1.045,0.25,13.7700525,100.551384
0101100F02,72.961,1.05,0.25999999,13.7700125,100.5513624
0101100F02,72.966,1.055,0.270000011,13.7699724,100.5513408
0101100F02,72.971,1.06,0.305000007,13.7699329,100.551319
0101100F02,72.976,1.065,0.323333323,13.7698935,100.5512972
0101100F02,72.981,1.07,0.333333343,13.7698541,100.5512754
0101100F02,72.986,1.075,0.25999999,13.7698145,100.5512536
0101100F02,72.991,1.08,0.264999986,13.7697749,100.5512317
0101100F02,72.996,1.085,0.296666652,13.7697351,100.5512098
0101100F02,73.001,1.09,0.344999999,13.769695,100.5511879
0101100F02,73.006,1.095,0.335000008,13.7696546,100.5511657
0101100F02,73.011,1.1,0.333333343,13.7696179,100.5511434
0101100F02,73.016,1.105,0.335000008,13.7695807,100.5511206
0101100F02,73.021,1.11,0.324999988,13.7695427,100.5510981
0101100F02,73.026,1.115,0.316666692,13.7695041,100.551076
0101100F02,73.031,1.12,0.335000008,13.7694649,100.5510535
0101100F02,73.036,1.125,0.314999998,13.7694231,100.551034
0101100F02,73.041,1.13,0.330000013,13.7693809,100.5510143
0101100F02,73.046,1.135,0.316666663,13.7693417,100.5509924
0101100F02,73.051,1.14,0.289999992,13.7693049,100.5509689
0101100F02,73.056,1.145,0.289999992,13.7692678,100.5509454
0101100F02,73.061,1.15,0.280000001,13.7692299,100.5509223
0101100F02,73.066,1.155,0.314999998,13.7691921,100.5508993
0101100F02,73.071,1.16,0.284999996,13.7691533,100.5508768
0101100F02,73.076,1.165,0.280000001,13.7691142,100.5508541
0101100F02,73.081,1.17,0.319999993,13.7690753,100.5508317
0101100F02,73.086,1.175,0.344999999,13.7690362,100.5508092
0101100F02,73.091,1.18,0.333333343,13.768996,100.5507868
0101100F02,73.096,1.185,0.319999993,13.7689541,100.5507643
0101100F02,73.101,1.19,0.300000012,13.7689111,100.5507421
0101100F02,73.106,1.195,0.293333322,13.7688654,100.5507212
0101100F02,73.111,1.2,0.230000004,13.7688192,100.5507001
0101100F02,73.116,1.205,0.340000004,13.7687735,100.5506789
0101100F02,73.121,1.21,1.183333278,13.7687275,100.5506575
0101100F02,73.126,1.215,0.566666663,13.7686951,100.5506298
0101100F02,73.131,1.22,0.305000007,13.7686647,100.5506012
0101100F02,73.136,1.225,0.263333321,13.7686286,100.5505769
0101100F02,73.141,1.23,0.319999993,13.7685889,100.550553
0101100F02,73.146,1.235,0.360000014,13.76855,100.5505317
0101100F02,73.151,1.24,0.346666664,13.7685087,100.5505098
0101100F02,73.156,1.245,0.393333316,13.76847,100.5504865
0101100F02,73.161,1.25,0.284999996,13.7684315,100.5504632
0101100F02,73.166,1.255,0.234999999,13.7683925,100.5504395
0101100F02,73.171,1.26,0.359999985,13.7683774,100.5504309
0101100F02,73.176,1.265,0.25999999,13.7683674,100.5504254
0101100F02,73.181,1.27,0.295000017,13.7683563,100.5504194
0101100F02,73.186,1.275,0.283333331,13.7683441,100.5504128
0101100F02,73.191,1.28,0.289999992,13.7683294,100.5504048
0101100F02,73.196,1.285,0.284999996,13.7683067,100.5503924
0101100F02,73.201,1.29,0.319999993,13.7681365,100.5503
0101100F02,73.206,1.295,0.314999998,13.7679493,100.5501982
0101100F02,73.211,1.3,0.335000008,13.7679066,100.550175
0101100F02,73.216,1.305,0.233333334,13.7678886,100.5501652
0101100F02,73.221,1.31,0.293333322,13.7678744,100.5501575
0101100F02,73.226,1.315,0.289999992,13.7678601,100.5501497
0101100F02,73.231,1.32,0.299999982,13.7678446,100.5501413
0101100F02,73.236,1.325,0.330000013,13.7678303,100.5501335
0101100F02,73.241,1.33,0.335000008,13.7678052,100.5501177
0101100F02,73.246,1.335,0.343333334,13.7677599,100.550087
0101100F02,73.251,1.34,0.343333334,13.7677178,100.5500631
0101100F02,73.256,1.345,0.319999993,13.767681,100.5500382
0101100F02,73.262,1.35,0.319999993,13.7676223,100.5499991
0101100F02,73.266,1.355,0.296666652,13.7675852,100.5499726
0101100F02,73.271,1.36,0.300000012,13.7675491,100.5499478
0101100F02,73.276,1.365,0.314999998,13.7675132,100.549922
0101100F02,73.281,1.37,0.303333342,13.7674773,100.5498959
0101100F02,73.287,1.375,0.314999998,13.7674415,100.5498707
0101100F02,73.291,1.38,0.324999988,13.7674049,100.5498444
0101100F02,73.297,1.385,0.313333333,13.7673609,100.5498157
0101100F02,73.301,1.39,0.310000002,13.7673225,100.5497922
0101100F02,73.306,1.395,0.324999988,13.7672843,100.549768
0101100F02,73.311,1.4,0.283333331,13.7672437,100.5497442
0101100F02,73.316,1.405,0.286666662,13.7672043,100.5497228
0101100F02,73.321,1.41,0.194999993,13.7671683,100.5497011
0101100F02,73.326,1.415,0.296666652,13.7671415,100.5496803
0101100F02,73.332,1.42,0.326666683,13.7671192,100.549655
0101100F02,73.336,1.425,0.324999988,13.7670315,100.5496176
0101100F02,73.341,1.43,0.356666684,13.7669759,100.5495938
0101100F02,73.346,1.435,0.426666647,13.7669327,100.5495753
0101100F02,73.351,1.44,0.344999999,13.7668954,100.5495594
0101100F02,73.356,1.445,0.340000004,13.7668606,100.5495445
0101100F02,73.361,1.45,0.303333312,13.766826,100.5495297
0101100F02,73.366,1.455,0.300000012,13.7667937,100.5495159
0101100F02,73.371,1.46,0.355000019,13.766756,100.549501
0101100F02,73.376,1.465,0.353333354,13.7667138,100.5494853
0101100F02,73.381,1.47,0.389999986,13.7666711,100.5494682
0101100F02,73.386,1.475,0.360000014,13.7666317,100.5494524
0101100F02,73.391,1.48,0.336666673,13.7665951,100.5494376
0101100F02,73.396,1.485,0.330000013,13.7665599,100.5494233
0101100F02,73.401,1.49,0.295000017,13.7665174,100.549406
0101100F02,73.406,1.495,0.25666666,13.7664766,100.5493893
0101100F02,73.411,1.5,0.316666663,13.7664336,100.549371
0101100F02,73.416,1.505,0.314999998,13.7663904,100.5493523
0101100F02,73.421,1.51,0.24333334,13.7663481,100.5493337
0101100F02,73.426,1.515,0.313333303,13.766307,100.5493143
0101100F02,73.431,1.52,0.310000002,13.7662655,100.5492947
0101100F02,73.436,1.525,0.305000007,13.7662243,100.5492749
0101100F02,73.441,1.53,0.310000002,13.7661836,100.5492549
0101100F02,73.446,1.535,0.324999988,13.7661431,100.549235
0101100F02,73.451,1.54,0.314999998,13.7661039,100.5492144
0101100F02,73.456,1.545,0.296666652,13.7660656,100.5491941
0101100F02,73.461,1.55,0.305000007,13.7660273,100.5491737
0101100F02,73.466,1.555,0.295000017,13.7659873,100.5491518
0101100F02,73.471,1.56,0.303333342,13.7659478,100.5491302
0101100F02,73.476,1.565,0.289999992,13.7659084,100.5491084
0101100F02,73.481,1.57,0.310000002,13.7658687,100.5490865
0101100F02,73.486,1.575,0.313333303,13.7658296,100.5490648
0101100F02,73.491,1.58,0.293333352,13.7657909,100.5490435
0101100F02,73.496,1.585,0.360000014,13.7657507,100.5490215
0101100F02,73.501,1.59,0.50999999,13.7657113,100.5489999
0101100F02,73.506,1.595,0.656666696,13.7656725,100.5489787
0101100F02,73.511,1.6,0.050000001,13.7656319,100.5489568
0101100F02,73.516,1.605,1.033333421,13.765592,100.5489352
0101100F02,73.521,1.61,0.313333303,13.7655526,100.5489139
0101100F02,73.526,1.615,1.019999981,13.7655128,100.548893
0101100F02,73.531,1.62,0.314999998,13.7654732,100.5488727
0101100F02,73.536,1.625,0.323333353,13.7654335,100.5488522
0101100F02,73.541,1.63,0.574999988,13.7653933,100.5488317
0101100F02,73.546,1.635,0.300000012,13.7653526,100.5488116
0101100F02,73.551,1.64,0.270000011,13.7653113,100.5487913
0101100F02,73.556,1.645,0.310000002,13.7652697,100.5487708
0101100F02,73.561,1.65,0.355000019,13.7652292,100.548751
0101100F02,73.566,1.655,0.356666684,13.7651893,100.5487314
0101100F02,73.571,1.66,0.300000012,13.7651495,100.548712
0101100F02,73.576,1.665,0.310000002,13.7651088,100.5486925
0101100F02,73.581,1.67,0.306666672,13.7650672,100.5486732
0101100F02,73.586,1.675,0.319999993,13.7650258,100.548654
0101100F02,73.591,1.68,0.310000002,13.7649846,100.5486349
0101100F02,73.596,1.685,0.326666683,13.7649432,100.5486158
