Section,Distance (km),Sub Distance (km),GNaverage,Latitude,Longtitude
0101100R01,24.661,7.6,0.234999999,13.716201,100.5566844
0101100R01,24.663,7.595,0.215000004,13.7162221,100.5566427
0101100R01,24.668,7.59,0.276666671,13.7162429,100.5566018
0101100R01,24.673,7.585,0.233333334,13.7162638,100.5565613
0101100R01,24.678,7.58,0.234999999,13.7162847,100.5565208
0101100R01,24.683,7.575,0.24333334,13.7163055,100.5564805
0101100R01,24.688,7.57,0.233333334,13.7163263,100.5564405
0101100R01,24.693,7.565,0.239999995,13.7163472,100.5564003
0101100R01,24.698,7.56,0.270000011,13.7163681,100.5563598
0101100R01,24.703,7.555,0.25333333,13.7163887,100.5563187
0101100R01,24.708,7.55,0.245000005,13.7164093,100.5562774
0101100R01,24.713,7.545,0.355000019,13.7164301,100.556236
0101100R01,24.718,7.54,0.370000005,13.7164514,100.5561948
0101100R01,24.723,7.535,0.305000007,13.7164727,100.5561533
0101100R01,24.728,7.53,0.314999998,13.7164939,100.5561122
0101100R01,24.733,7.525,0.236666679,13.716515,100.5560708
0101100R01,24.738,7.52,0.540000021,13.716536,100.5560293
0101100R01,24.743,7.515,0.529999971,13.7165572,100.5559878
0101100R01,24.748,7.51,0.330000013,13.7165787,100.5559481
0101100R01,24.753,7.505,0.303333342,13.7166001,100.5559086
0101100R01,24.758,7.5,0.295000017,13.7166216,100.5558688
0101100R01,24.763,7.495,0.88499999,13.7166428,100.555828
0101100R01,24.768,7.49,0.733333349,13.7166639,100.5557876
0101100R01,24.773,7.485,0.360000014,13.7166851,100.5557468
0101100R01,24.778,7.48,0.330000013,13.7167066,100.5557057
0101100R01,24.783,7.475,0.326666683,13.716728,100.555665
0101100R01,24.788,7.47,0.330000013,13.7167495,100.5556239
0101100R01,24.793,7.465,0.50999999,13.7167714,100.5555822
0101100R01,24.798,7.46,0.386666685,13.7167932,100.5555406
0101100R01,24.803,7.455,0.306666672,13.716815,100.555499
0101100R01,24.808,7.45,0.314999998,13.716839,100.5554583
0101100R01,24.813,7.445,0.533333361,13.716863,100.5554177
0101100R01,24.818,7.44,1.200000048,13.7168872,100.555377
0101100R01,24.823,7.435,0.329999983,13.716912,100.5553376
0101100R01,24.828,7.43,0.280000001,13.7169367,100.5552983
0101100R01,24.833,7.425,0.303333342,13.7169615,100.5552589
0101100R01,24.838,7.42,0.305000007,13.7169839,100.5552215
0101100R01,24.843,7.415,0.25,13.7170059,100.5551843
0101100R01,24.848,7.41,0.346666664,13.717028,100.555147
0101100R01,24.853,7.405,0.344999999,13.7170541,100.5551095
0101100R01,24.858,7.4,0.349999994,13.7170809,100.5550717
0101100R01,24.863,7.395,0.343333334,13.7171079,100.5550338
0101100R01,24.868,7.39,0.273333311,13.7171329,100.5549962
0101100R01,24.873,7.385,0.314999998,13.7171577,100.5549585
0101100R01,24.878,7.38,0.306666642,13.7171663,100.5549454
0101100R01,24.883,7.375,0.316666663,13.7171913,100.554908
0101100R01,24.888,7.37,0.314999998,13.7172178,100.5548704
0101100R01,24.893,7.365,0.295000017,13.717244,100.5548333
0101100R01,24.898,7.36,0.296666652,13.7172702,100.5547963
0101100R01,24.903,7.355,0.284999996,13.7172981,100.5547572
0101100R01,24.908,7.35,0.289999992,13.7173256,100.5547186
0101100R01,24.913,7.345,0.270000011,13.717353,100.5546801
0101100R01,24.918,7.34,0.284999996,13.7173805,100.5546416
0101100R01,24.923,7.335,0.275000006,13.7174076,100.5546035
0101100R01,24.928,7.33,0.296666652,13.7174347,100.5545655
0101100R01,24.933,7.325,0.299999982,13.717462,100.5545272
0101100R01,24.938,7.32,0.289999992,13.7174889,100.5544894
0101100R01,24.943,7.315,0.303333312,13.7175161,100.5544513
0101100R01,24.948,7.31,0.299999982,13.717544,100.554415
0101100R01,24.953,7.305,0.319999993,13.7175727,100.5543815
0101100R01,24.958,7.3,0.335000008,13.7176017,100.5543476
0101100R01,24.963,7.295,0.306666642,13.7176305,100.554314
0101100R01,24.968,7.29,0.330000013,13.7176595,100.5542802
0101100R01,24.973,7.285,0.36500001,13.7176886,100.5542463
0101100R01,24.978,7.28,0.360000014,13.7177174,100.5542125
0101100R01,24.983,7.275,0.349999994,13.7177467,100.5541784
0101100R01,24.988,7.27,0.344999999,13.7177758,100.5541444
0101100R01,24.993,7.265,0.346666664,13.717805,100.5541103
0101100R01,24.998,7.26,0.360000014,13.7178352,100.554072
0101100R01,25.003,7.255,0.349999994,13.7178656,100.5540323
0101100R01,25.008,7.25,0.366666675,13.7178962,100.5539924
0101100R01,25.013,7.245,0.336666673,13.7179257,100.5539571
0101100R01,25.018,7.24,0.330000013,13.7179543,100.5539263
0101100R01,25.023,7.235,0.404999971,13.7179829,100.5538955
0101100R01,25.028,7.23,0.360000014,13.7180125,100.5538634
0101100R01,25.033,7.225,0.314999998,13.7180433,100.5538293
0101100R01,25.038,7.22,0.310000002,13.7180745,100.553795
0101100R01,25.043,7.215,0.296666682,13.718106,100.5537615
0101100R01,25.048,7.21,0.340000004,13.718139,100.5537307
0101100R01,25.053,7.205,0.324999988,13.7181722,100.5536998
0101100R01,25.058,7.2,0.313333333,13.7182056,100.5536688
0101100R01,25.063,7.195,0.303333342,13.7182405,100.5536393
0101100R01,25.068,7.19,0.324999988,13.7182757,100.5536095
0101100R01,25.073,7.185,0.330000013,13.718311,100.5535797
0101100R01,25.078,7.18,0.323333323,13.7183459,100.5535501
0101100R01,25.083,7.175,0.324999988,13.7183811,100.5535204
0101100R01,25.088,7.17,0.324999988,13.7184164,100.5534906
0101100R01,25.093,7.165,0.330000013,13.718455,100.5534669
0101100R01,25.098,7.16,0.284999996,13.7184948,100.5534445
0101100R01,25.103,7.155,0.290000021,13.7185345,100.553422
