Section,Distance (km),Sub Distance (km),GNaverage,Latitude,Longitude
0102100F01,42.218,10,0.203333333,13.7162685,100.5567706
0102100F01,42.223,10.005,0.196666658,13.7162464,100.5568112
0102100F01,42.228,10.01,0.170000002,13.7162239,100.5568516
0102100F01,42.233,10.015,0.163333327,13.7162013,100.5568921
0102100F01,42.238,10.02,0.153333336,13.7161781,100.5569321
0102100F01,42.243,10.025,0.189999998,13.7161552,100.5569722
0102100F01,42.248,10.03,0.13666667,13.7161308,100.5570105
0102100F01,42.253,10.035,0.176666662,13.7161068,100.5570494
0102100F01,42.258,10.04,0.164999992,13.7160827,100.5570888
0102100F01,42.263,10.045,0.170000002,13.7160583,100.5571272
0102100F01,42.268,10.05,0.180000007,13.7160335,100.5571657
0102100F01,42.273,10.055,0.194999993,13.7160088,100.557204
0102100F01,42.278,10.06,0.185000002,13.7159843,100.5572421
0102100F01,42.283,10.065,0.173333332,13.7159598,100.5572797
0102100F01,42.288,10.07,0.189999998,13.7159326,100.5573178
0102100F01,42.293,10.075,0.170000002,13.7159055,100.557355
0102100F01,42.298,10.08,0.170000002,13.7158785,100.5573917
0102100F01,42.303,10.085,0.189999998,13.7158513,100.5574279
0102100F01,42.308,10.09,0.194999993,13.7158243,100.5574665
0102100F01,42.313,10.095,0.180000007,13.7157976,100.5575043
0102100F01,42.318,10.1,0.180000007,13.7157713,100.5575374
0102100F01,42.323,10.105,0.204999998,13.7157443,100.557571
0102100F01,42.328,10.11,0.219999984,13.7157176,100.5576028
0102100F01,42.333,10.115,0.219999999,13.7156906,100.5576311
0102100F01,42.338,10.12,0.189999998,13.7156591,100.5576629
0102100F01,42.343,10.125,0.173333347,13.7156272,100.5576951
0102100F01,42.348,10.13,0.209999993,13.7156016,100.5577226
0102100F01,42.353,10.135,0.180000007,13.7155727,100.5577602
0102100F01,42.358,10.14,0.209999993,13.7155417,100.5578047
0102100F01,42.363,10.145,0.219999999,13.7155102,100.5578498
0102100F01,42.368,10.15,0.194999993,13.7154803,100.5578909
0102100F01,42.373,10.155,0.203333333,13.7154522,100.5579274
0102100F01,42.378,10.16,0.206666663,13.7154232,100.5579638
0102100F01,42.383,10.165,0.215000004,13.7153943,100.558
0102100F01,42.388,10.17,0.203333333,13.7153655,100.5580361
0102100F01,42.393,10.175,0.213333324,13.715338,100.5580723
0102100F01,42.398,10.18,0.224999994,13.7153104,100.5581082
0102100F01,42.403,10.185,0.25666666,13.7152823,100.5581443
0102100F01,42.408,10.19,0.270000011,13.715254,100.5581807
0102100F01,42.413,10.195,0.25999999,13.7152257,100.5582168
0102100F01,42.418,10.2,0.286666662,13.7151969,100.5582531
0102100F01,42.423,10.205,0.280000001,13.7151675,100.558288
0102100F01,42.428,10.21,0.289999992,13.7151379,100.5583234
0102100F01,42.433,10.215,0.254999995,13.7151088,100.5583585
0102100F01,42.438,10.22,0.266666651,13.7150796,100.5583947
0102100F01,42.443,10.225,0.264999986,13.7150509,100.5584299
0102100F01,42.448,10.23,0.245000005,13.7150219,100.558465
0102100F01,42.453,10.235,0.25666666,13.7149945,100.5585015
0102100F01,42.457,10.24,0.25999999,13.7149664,100.5585391
0102100F01,42.462,10.245,0.264999986,13.7149377,100.558576
0102100F01,42.467,10.25,0.25,13.7149085,100.5586115
0102100F01,42.471,10.255,0.245000005,13.7148779,100.5586461
0102100F01,42.478,10.26,0.219999999,13.7148481,100.5586841
0102100F01,42.483,10.265,0.226666674,13.7148189,100.55872
0102100F01,42.488,10.27,0.230000004,13.7147912,100.5587555
0102100F01,42.493,10.275,0.230000004,13.714763,100.5587917
0102100F01,42.498,10.28,0.219999984,13.7147343,100.5588271
0102100F01,42.503,10.285,0.204999998,13.7147059,100.5588636
0102100F01,42.508,10.29,0.204999998,13.7146778,100.5588998
0102100F01,42.513,10.295,0.239999995,13.7146495,100.5589355
0102100F01,42.518,10.3,0.230000004,13.7146213,100.5589714
0102100F01,42.523,10.305,0.219999999,13.7145933,100.5590072
0102100F01,42.528,10.31,0.223333314,13.7145652,100.5590428
0102100F01,42.533,10.315,0.239999995,13.7145374,100.5590792
0102100F01,42.538,10.32,0.230000004,13.7145095,100.5591156
0102100F01,42.543,10.325,0.230000004,13.7144815,100.5591521
0102100F01,42.548,10.33,0.266666651,13.7144537,100.5591888
0102100F01,42.553,10.335,0.245000005,13.714426,100.5592257
0102100F01,42.558,10.34,0.230000004,13.714398,100.5592618
0102100F01,42.563,10.345,0.236666664,13.7143701,100.5592977
0102100F01,42.568,10.35,0.230000004,13.7143429,100.5593348
0102100F01,42.573,10.355,0.236666664,13.7143152,100.5593714
0102100F01,42.578,10.36,0.230000004,13.7142876,100.5594072
0102100F01,42.583,10.365,0.239999995,13.7142588,100.5594422
0102100F01,42.588,10.37,0.25999999,13.7142309,100.5594777
0102100F01,42.593,10.375,0.226666674,13.7142037,100.5595137
0102100F01,42.598,10.38,0.234999999,13.7141764,100.5595512
0102100F01,42.603,10.385,0.25,13.7141493,100.5595886
0102100F01,42.608,10.39,0.25999999,13.7141215,100.5596254
0102100F01,42.613,10.395,0.230000004,13.7140941,100.559662
0102100F01,42.618,10.4,0.219999999,13.7140669,100.5596986
0102100F01,42.623,10.405,0.233333334,13.7140396,100.5597352
0102100F01,42.628,10.41,0.219999999,13.7140118,100.5597722
0102100F01,42.633,10.415,0.219999999,13.7139844,100.5598099
0102100F01,42.638,10.42,0.223333314,13.7139574,100.5598475
0102100F01,42.643,10.425,0.219999999,13.7139301,100.5598837
0102100F01,42.648,10.43,0.219999999,13.7139028,100.5599193
0102100F01,42.653,10.435,0.209999993,13.7138752,100.5599559
0102100F01,42.658,10.44,0.224999994,13.7138474,100.5599928
0102100F01,42.663,10.445,0.224999994,13.7138202,100.5600291
0102100F01,42.668,10.45,0.230000004,13.7137927,100.5600657
0102100F01,42.673,10.455,0.229999989,13.7137651,100.5601026
0102100F01,42.678,10.46,0.219999999,13.7137379,100.560139
0102100F01,42.683,10.465,0.233333334,13.7137103,100.5601764
0102100F01,42.688,10.47,0.239999995,13.7136825,100.5602138
0102100F01,42.693,10.475,0.245000005,13.7136542,100.5602517
0102100F01,42.698,10.48,0.25999999,13.713627,100.5602871
0102100F01,42.703,10.485,0.270000011,13.7135997,100.5603245
0102100F01,42.708,10.49,0.275000006,13.7135717,100.5603621
0102100F01,42.713,10.495,0.289999992,13.7135441,100.5603987
0102100F01,42.718,10.5,0.286666662,13.7135169,100.5604356
0102100F01,42.723,10.505,0.270000011,13.7134897,100.560472
0102100F01,42.728,10.51,0.283333331,13.713462,100.5605085
0102100F01,42.733,10.515,0.280000001,13.7134347,100.5605457
0102100F01,42.738,10.52,0.295000017,13.7134075,100.5605826
0102100F01,42.743,10.525,0.289999992,13.7133802,100.5606188
0102100F01,42.748,10.53,0.266666651,13.7133527,100.560655
0102100F01,42.753,10.535,0.275000006,13.7133252,100.560692
0102100F01,42.758,10.54,0.239999995,13.7132981,100.5607296
0102100F01,42.763,10.545,0.263333321,13.7132709,100.5607656
0102100F01,42.768,10.55,0.270000011,13.7132432,100.5608019
0102100F01,42.773,10.555,0.275000006,13.7132151,100.5608384
0102100F01,42.778,10.56,0.270000011,13.7131878,100.5608751
0102100F01,42.783,10.565,0.254999995,13.7131602,100.5609122
0102100F01,42.788,10.57,0.239999995,13.7131323,100.560949
0102100F01,42.793,10.575,0.236666664,13.7131052,100.5609845
0102100F01,42.798,10.58,0.224999994,13.7130779,100.5610202
0102100F01,42.803,10.585,0.189999998,13.7130509,100.5610568
0102100F01,42.808,10.59,0.166666672,13.7130233,100.5610932
0102100F01,42.813,10.595,0.175000012,13.7129953,100.5611293
0102100F01,42.818,10.6,0.189999998,13.712968,100.5611666
0102100F01,42.823,10.605,0.203333333,13.7129407,100.5612039
0102100F01,42.828,10.61,0.185000002,13.7129137,100.5612408
0102100F01,42.833,10.615,0.164999992,13.7128869,100.5612776
0102100F01,42.838,10.62,0.166666672,13.71286,100.5613146
0102100F01,42.843,10.625,0.196666673,13.712833,100.5613517
0102100F01,42.848,10.63,0.209999993,13.7128056,100.5613886
0102100F01,42.853,10.635,0.200000003,13.712778,100.5614251
0102100F01,42.858,10.64,0.166666672,13.7127503,100.5614615
0102100F01,42.863,10.645,0.159999996,13.7127234,100.5614991
0102100F01,42.868,10.65,0.163333341,13.7126962,100.561536
0102100F01,42.873,10.655,0.163333341,13.7126687,100.5615726
0102100F01,42.878,10.66,0.164999992,13.7126408,100.5616092
0102100F01,42.883,10.665,0.186666667,13.7126122,100.5616438
0102100F01,42.888,10.67,0.183333337,13.7125841,100.5616796
0102100F01,42.893,10.675,0.209999993,13.7125561,100.5617162
0102100F01,42.898,10.68,0.185000002,13.7125282,100.5617521
0102100F01,42.903,10.685,0.180000007,13.7125008,100.5617891
0102100F01,42.908,10.69,0.204999998,13.7124734,100.5618256
0102100F01,42.913,10.695,0.215000004,13.712446,100.5618621
0102100F01,42.918,10.7,0.226666674,13.7124184,100.5618995
0102100F01,42.923,10.705,0.215000004,13.7123906,100.5619363
0102100F01,42.928,10.71,0.219999999,13.7123634,100.5619729
0102100F01,42.933,10.715,0.200000003,13.7123363,100.5620101
0102100F01,42.938,10.72,0.219999999,13.7123087,100.5620488
0102100F01,42.943,10.725,0.209999993,13.7122812,100.5620845
0102100F01,42.948,10.73,0.203333333,13.712254,100.5621204
0102100F01,42.953,10.735,0.219999999,13.7122272,100.562157
0102100F01,42.958,10.74,0.239999995,13.7122004,100.5621936
0102100F01,42.963,10.745,0.236666664,13.7121735,100.5622308
0102100F01,42.968,10.75,0.230000004,13.7121467,100.5622688
0102100F01,42.973,10.755,0.25999999,13.7121207,100.562306
0102100F01,42.978,10.76,0.24666667,13.7120946,100.5623432
0102100F01,42.982,10.765,0.245000005,13.7120679,100.5623804
0102100F01,42.987,10.77,0.215000004,13.7120415,100.5624175
0102100F01,42.992,10.775,0.236666664,13.7120156,100.5624561
0102100F01,42.998,10.78,0.230000004,13.7119885,100.5624952
0102100F01,43.003,10.785,0.224999994,13.7119638,100.5625348
0102100F01,43.008,10.79,0.24000001,13.7119402,100.5625754
0102100F01,43.013,10.795,0.213333324,13.7119157,100.5626151
0102100F01,43.018,10.8,0.230000004,13.7118916,100.5626539
0102100F01,43.022,10.805,0.25333333,13.7118673,100.562693
0102100F01,43.028,10.81,0.25,13.7118432,100.5627328
0102100F01,43.033,10.815,0.25,13.7118195,100.5627721
0102100F01,43.038,10.82,0.25666666,13.7117971,100.562811
0102100F01,43.043,10.825,0.270000011,13.7117751,100.5628517
0102100F01,43.048,10.83,0.284999996,13.7117546,100.5628928
0102100F01,43.053,10.835,0.289999992,13.7117342,100.5629336
0102100F01,43.058,10.84,0.336666673,13.711714,100.5629744
0102100F01,43.063,10.845,0.314999998,13.7116939,100.5630156
0102100F01,43.068,10.85,0.324999988,13.7116751,100.5630571
0102100F01,43.073,10.855,0.313333333,13.7116566,100.5630991
0102100F01,43.078,10.86,0.314999998,13.7116384,100.5631413
0102100F01,43.083,10.865,0.324999988,13.7116215,100.5631842
0102100F01,43.088,10.87,0.330000013,13.7116049,100.5632268
0102100F01,43.093,10.875,0.305000007,13.7115885,100.5632698
0102100F01,43.098,10.88,0.25999999,13.7115725,100.563312
0102100F01,43.103,10.885,0.270000011,13.7115568,100.5633552
0102100F01,43.108,10.89,0.245000005,13.7115415,100.5633975
0102100F01,43.113,10.895,0.230000004,13.7115274,100.5634414
0102100F01,43.118,10.9,0.219999984,13.7115132,100.5634857
0102100F01,43.123,10.905,0.209999993,13.7115004,100.56353
