Section,Distance (km),Sub Distance (km),skid,Latitude,Longitude
0102100F02,79.512,10,0.233333334,13.7162812,100.5568182
0102100F02,79.517,10.005,0.239999995,13.7162567,100.5568571
0102100F02,79.522,10.01,0.234999999,13.7162328,100.556899
0102100F02,79.527,10.015,0.223333314,13.7162098,100.5569389
0102100F02,79.532,10.02,0.230000004,13.7161862,100.5569795
0102100F02,79.537,10.025,0.239999995,13.7161637,100.5570234
0102100F02,79.542,10.03,0.25333333,13.7161394,100.5570583
0102100F02,79.547,10.035,0.239999995,13.7161149,100.5570971
0102100F02,79.552,10.04,0.254999995,13.7160893,100.5571361
0102100F02,79.557,10.045,0.24666667,13.7160638,100.5571743
0102100F02,79.562,10.05,0.25666666,13.7160385,100.5572126
0102100F02,79.567,10.055,0.239999995,13.7160133,100.55725
0102100F02,79.572,10.06,0.209999993,13.7159853,100.5572865
0102100F02,79.577,10.065,0.200000003,13.7159592,100.5573274
0102100F02,79.582,10.07,0.200000003,13.7159327,100.5573649
0102100F02,79.587,10.075,0.183333337,13.7159063,100.5574015
0102100F02,79.592,10.08,0.173333347,13.7158763,100.5574374
0102100F02,79.597,10.085,0.200000003,13.7158493,100.557474
0102100F02,79.602,10.09,0.196666673,13.7158209,100.5575111
0102100F02,79.607,10.095,0.213333324,13.7157878,100.5575439
0102100F02,79.612,10.1,0.224999994,13.7157602,100.5575803
0102100F02,79.617,10.105,0.226666674,13.7157403,100.5576215
0102100F02,79.622,10.11,0.226666674,13.7157122,100.5576572
0102100F02,79.627,10.115,0.200000003,13.7156835,100.5576931
0102100F02,79.632,10.12,0.204999998,13.7156545,100.5577288
0102100F02,79.637,10.125,0.24000001,13.7156257,100.5577641
0102100F02,79.642,10.13,0.219999999,13.7155968,100.5578001
0102100F02,79.647,10.135,0.215000004,13.7155687,100.557836
0102100F02,79.652,10.14,0.180000007,13.7155397,100.5578722
0102100F02,79.657,10.145,0.150000006,13.7155109,100.5579082
0102100F02,79.662,10.15,0.180000007,13.7154825,100.5579436
0102100F02,79.667,10.155,0.230000004,13.7154531,100.557979
0102100F02,79.672,10.16,0.224999994,13.7154244,100.5580152
0102100F02,79.677,10.165,0.239999995,13.7153961,100.5580509
0102100F02,79.682,10.17,0.216666654,13.7153656,100.5580847
0102100F02,79.687,10.175,0.230000004,13.7153361,100.5581196
0102100F02,79.692,10.18,0.219999999,13.7153081,100.5581559
0102100F02,79.697,10.185,0.239999995,13.7152808,100.5581913
0102100F02,79.702,10.19,0.264999986,13.7152532,100.5582278
0102100F02,79.707,10.195,0.25,13.7152254,100.5582635
0102100F02,79.712,10.2,0.270000011,13.7151972,100.5582987
0102100F02,79.717,10.205,0.25333333,13.7151694,100.5583336
0102100F02,79.722,10.21,0.25,13.7151409,100.5583701
0102100F02,79.727,10.215,0.24666667,13.7151123,100.5584073
0102100F02,79.732,10.22,0.280000001,13.7150841,100.5584419
0102100F02,79.737,10.225,0.245000005,13.7150546,100.5584781
0102100F02,79.742,10.23,0.270000011,13.7150256,100.5585147
0102100F02,79.747,10.235,0.263333321,13.7149967,100.5585515
0102100F02,79.752,10.24,0.270000011,13.7149696,100.5585862
0102100F02,79.757,10.245,0.263333321,13.7149367,100.5586228
0102100F02,79.762,10.25,0.230000004,13.7149107,100.5586595
0102100F02,79.767,10.255,0.234999999,13.7148824,100.5586938
0102100F02,79.772,10.26,0.25666666,13.7148533,100.5587301
0102100F02,79.777,10.265,0.24666667,13.7148236,100.5587652
0102100F02,79.782,10.27,0.270000011,13.7147956,100.5588003
0102100F02,79.787,10.275,0.239999995,13.7147672,100.558836
0102100F02,79.792,10.28,0.220000014,13.7147395,100.5588723
0102100F02,79.797,10.285,0.209999993,13.7147103,100.5589084
0102100F02,79.802,10.29,0.219999999,13.7146828,100.5589437
0102100F02,79.807,10.295,0.24666667,13.7146543,100.55898
0102100F02,79.812,10.3,0.215000004,13.7146266,100.5590165
0102100F02,79.817,10.305,0.215000004,13.7145985,100.559053
0102100F02,79.822,10.31,0.203333333,13.7145702,100.5590893
0102100F02,79.827,10.315,0.230000004,13.7145425,100.5591252
0102100F02,79.832,10.32,0.209999993,13.7145151,100.5591613
0102100F02,79.837,10.325,0.230000004,13.714487,100.5591978
0102100F02,79.842,10.33,0.194999993,13.7144591,100.5592341
0102100F02,79.847,10.335,0.200000003,13.7144313,100.5592703
0102100F02,79.852,10.34,0.189999998,13.7144034,100.5593064
0102100F02,79.857,10.345,0.189999998,13.7143753,100.5593432
0102100F02,79.862,10.35,0.224999994,13.7143477,100.5593793
0102100F02,79.867,10.355,0.24333334,13.7143201,100.5594151
0102100F02,79.872,10.36,0.266666651,13.7142924,100.5594521
0102100F02,79.877,10.365,0.239999995,13.714265,100.5594882
0102100F02,79.882,10.37,0.25999999,13.714237,100.5595244
0102100F02,79.887,10.375,0.270000011,13.7142087,100.5595611
0102100F02,79.892,10.38,0.275000006,13.7141801,100.5595982
0102100F02,79.897,10.385,0.276666671,13.7141522,100.5596347
0102100F02,79.902,10.39,0.276666671,13.7141245,100.559671
0102100F02,79.907,10.395,0.284999996,13.7140971,100.5597075
0102100F02,79.912,10.4,0.273333341,13.7140696,100.5597442
0102100F02,79.917,10.405,0.25333333,13.7140421,100.5597809
0102100F02,79.922,10.41,0.25999999,13.7140147,100.5598175
0102100F02,79.927,10.415,0.270000011,13.7139875,100.559854
0102100F02,79.932,10.42,0.239999995,13.7139597,100.5598906
0102100F02,79.937,10.425,0.219999999,13.7139322,100.5599271
0102100F02,79.942,10.43,0.189999998,13.7139054,100.5599644
0102100F02,79.947,10.435,0.183333337,13.7138789,100.5600019
0102100F02,79.952,10.44,0.189999998,13.7138526,100.5600395
0102100F02,79.957,10.445,0.194999993,13.7138251,100.5600756
0102100F02,79.962,10.45,0.186666667,13.7137965,100.560111
0102100F02,79.967,10.455,0.185000002,13.7137695,100.5601473
0102100F02,79.972,10.46,0.209999993,13.7137429,100.5601848
0102100F02,79.977,10.465,0.200000003,13.7137155,100.5602214
0102100F02,79.982,10.47,0.189999998,13.7136878,100.5602575
0102100F02,79.987,10.475,0.200000003,13.7136596,100.5602942
0102100F02,79.992,10.48,0.189999998,13.7136313,100.560331
0102100F02,79.997,10.485,0.189999998,13.7136034,100.5603669
0102100F02,80.002,10.49,0.180000007,13.7135753,100.5604032
0102100F02,80.007,10.495,0.200000003,13.7135475,100.5604397
0102100F02,80.012,10.5,0.180000007,13.7135199,100.5604771
0102100F02,80.017,10.505,0.180000007,13.7134941,100.5605152
0102100F02,80.022,10.51,0.176666677,13.7134678,100.5605526
0102100F02,80.027,10.515,0.189999998,13.7134407,100.5605895
0102100F02,80.032,10.52,0.194999993,13.7134133,100.5606264
0102100F02,80.037,10.525,0.189999998,13.7133854,100.5606639
0102100F02,80.042,10.53,0.183333337,13.7133588,100.5607006
0102100F02,80.047,10.535,0.194999993,13.7133315,100.5607374
0102100F02,80.052,10.54,0.193333328,13.7133033,100.5607747
0102100F02,80.057,10.545,0.193333328,13.7132763,100.5608118
0102100F02,80.062,10.55,0.200000003,13.7132488,100.5608486
0102100F02,80.067,10.555,0.183333337,13.713221,100.5608849
0102100F02,80.072,10.56,0.219999984,13.7131936,100.5609214
0102100F02,80.077,10.565,0.234999999,13.7131667,100.560958
0102100F02,80.082,10.57,0.224999994,13.7131399,100.5609951
0102100F02,80.087,10.575,0.219999984,13.7131124,100.5610316
0102100F02,80.092,10.58,0.239999995,13.7130843,100.5610681
0102100F02,80.097,10.585,0.204999998,13.7130568,100.5611045
0102100F02,80.102,10.59,0.216666654,13.7130296,100.5611414
0102100F02,80.107,10.595,0.224999994,13.713002,100.5611785
0102100F02,80.112,10.6,0.200000003,13.712974,100.5612151
0102100F02,80.117,10.605,0.176666677,13.7129465,100.5612515
0102100F02,80.122,10.61,0.175000012,13.7129188,100.5612879
0102100F02,80.127,10.615,0.175000012,13.7128917,100.5613234
0102100F02,80.132,10.62,0.183333337,13.7128648,100.5613612
0102100F02,80.137,10.625,0.175000012,13.7128372,100.5613987
0102100F02,80.142,10.63,0.185000002,13.7128104,100.5614349
0102100F02,80.147,10.635,0.196666673,13.7127822,100.5614725
0102100F02,80.152,10.64,0.194999993,13.7127545,100.561509
0102100F02,80.157,10.645,0.200000003,13.7127273,100.5615461
0102100F02,80.162,10.65,0.216666654,13.7126998,100.5615836
0102100F02,80.167,10.655,0.209999993,13.7126724,100.5616193
0102100F02,80.172,10.66,0.219999999,13.7126441,100.561656
0102100F02,80.177,10.665,0.226666674,13.7126168,100.5616919
0102100F02,80.182,10.67,0.199999988,13.712589,100.5617281
0102100F02,80.187,10.675,0.194999993,13.7125607,100.5617648
0102100F02,80.192,10.68,0.223333314,13.7125331,100.5618007
0102100F02,80.197,10.685,0.226666674,13.7125051,100.5618368
0102100F02,80.202,10.69,0.224999994,13.7124778,100.5618736
0102100F02,80.207,10.695,0.219999984,13.712451,100.5619105
0102100F02,80.212,10.7,0.226666674,13.7124236,100.5619477
0102100F02,80.217,10.705,0.230000004,13.7123969,100.5619849
