Section,Distance (km),Sub Distance (km),GNaverage,Latitude,Longitude
0102100R03,90.529,18.485,0.24666667,13.6724396,100.6097373
0102100R03,90.534,18.48,0.219999999,13.6724482,100.6096883
0102100R03,90.539,18.475,0.050000001,13.6724568,100.6096395
0102100R03,90.544,18.47,0.766666651,13.672466,100.6095936
0102100R03,90.549,18.465,0.170000002,13.6724754,100.6095489
0102100R03,90.554,18.46,0.215000004,13.6724847,100.6095046
0102100R03,90.559,18.455,0.223333314,13.672494,100.6094602
0102100R03,90.564,18.45,0.25999999,13.6725033,100.609416
0102100R03,90.569,18.445,0.370000005,13.6725125,100.6093719
0102100R03,90.574,18.44,0.24666667,13.6725215,100.6093278
0102100R03,90.579,18.435,0.24666667,13.6725302,100.6092823
0102100R03,90.584,18.43,0.230000004,13.6725388,100.609237
0102100R03,90.589,18.425,0.24666667,13.6725475,100.6091915
0102100R03,90.594,18.42,0.266666681,13.6725565,100.609146
0102100R03,90.599,18.415,0.25999999,13.6725654,100.6091005
0102100R03,90.604,18.41,0.280000001,13.6725745,100.6090548
0102100R03,90.609,18.405,0.236666679,13.6725829,100.6090093
0102100R03,90.614,18.4,0.209999993,13.6725913,100.6089639
0102100R03,90.619,18.395,0.224999994,13.6725996,100.6089183
0102100R03,90.624,18.39,0.226666674,13.6726081,100.608873
0102100R03,90.629,18.385,0.344999999,13.6726168,100.6088276
0102100R03,90.634,18.38,0.300000012,13.6726254,100.6087826
0102100R03,90.639,18.375,0.266666651,13.6726342,100.6087371
0102100R03,90.644,18.37,0.254999995,13.6726435,100.6086915
0102100R03,90.649,18.365,0.280000001,13.6726527,100.6086458
0102100R03,90.654,18.36,0.276666671,13.672662,100.6086002
0102100R03,90.659,18.355,0.270000011,13.6726709,100.6085554
0102100R03,90.664,18.35,0.270000011,13.6726799,100.6085107
0102100R03,90.669,18.345,0.276666671,13.6726889,100.6084657
0102100R03,90.674,18.34,0.280000001,13.6726986,100.6084209
0102100R03,90.679,18.335,0.280000001,13.6727086,100.6083756
0102100R03,90.684,18.33,0.276666671,13.6727186,100.6083306
0102100R03,90.689,18.325,0.280000001,13.6727311,100.608287
0102100R03,90.694,18.32,0.275000006,13.6727448,100.6082444
0102100R03,90.699,18.315,0.234999999,13.6727586,100.6082018
0102100R03,90.704,18.31,0.24000001,13.6727691,100.608157
0102100R03,90.709,18.305,0.254999995,13.6727757,100.60811
0102100R03,90.714,18.3,0.25,13.6727822,100.6080631
0102100R03,90.719,18.295,0.270000011,13.6727901,100.608017
0102100R03,90.724,18.29,0.264999986,13.6728015,100.6079728
0102100R03,90.729,18.285,0.270000011,13.672813,100.6079285
0102100R03,90.734,18.28,0.270000011,13.6728245,100.6078843
0102100R03,90.739,18.275,0.25,13.6728377,100.60784
0102100R03,90.744,18.27,0.264999986,13.672851,100.6077954
0102100R03,90.749,18.265,0.25999999,13.6728642,100.607751
0102100R03,90.754,18.26,0.280000001,13.6728779,100.6077079
0102100R03,90.759,18.255,0.25999999,13.6728916,100.6076653
0102100R03,90.764,18.25,0.270000011,13.6729053,100.6076225
0102100R03,90.769,18.245,0.24666667,13.6729203,100.60758
0102100R03,90.774,18.24,0.25,13.6729358,100.6075377
0102100R03,90.779,18.235,0.270000011,13.6729513,100.6074956
0102100R03,90.784,18.23,0.25666666,13.6729662,100.6074546
0102100R03,90.789,18.225,0.38499999,13.6729801,100.6074152
0102100R03,90.794,18.22,0.224999994,13.6729941,100.6073757
0102100R03,90.799,18.215,0.219999984,13.6730092,100.6073352
0102100R03,90.804,18.21,0.199999988,13.673029,100.6072891
0102100R03,90.809,18.205,0.239999995,13.6730487,100.6072432
0102100R03,90.814,18.2,0.25666666,13.6730684,100.6071975
0102100R03,90.819,18.195,0.215000004,13.6730884,100.6071518
0102100R03,90.824,18.19,0.204999998,13.6731085,100.6071062
0102100R03,90.829,18.185,0.233333334,13.6731286,100.6070606
0102100R03,90.834,18.18,0.25,13.6731511,100.6070176
0102100R03,90.839,18.175,0.25999999,13.6731746,100.6069762
0102100R03,90.844,18.17,0.25,13.6731982,100.6069347
0102100R03,90.849,18.165,0.203333333,13.6732216,100.6068934
0102100R03,90.854,18.16,0.199999988,13.6732449,100.6068523
0102100R03,90.859,18.155,0.230000004,13.6732681,100.6068115
0102100R03,90.864,18.15,0.106666662,13.6732911,100.6067709
0102100R03,90.869,18.145,0.155000001,13.6733142,100.6067302
0102100R03,90.874,18.14,0.189999998,13.6733371,100.6066899
0102100R03,90.879,18.135,0.230000004,13.6733599,100.6066497
0102100R03,90.884,18.13,0.219999999,13.6733827,100.6066096
0102100R03,90.889,18.125,0.219999999,13.6734054,100.6065695
0102100R03,90.894,18.12,0.25,13.6734283,100.6065291
0102100R03,90.899,18.115,0.239999995,13.673451,100.6064891
0102100R03,90.904,18.11,0.25,13.6734737,100.6064492
0102100R03,90.909,18.105,0.270000011,13.6734964,100.6064091
0102100R03,90.914,18.1,0.270000011,13.673519,100.6063693
0102100R03,90.919,18.095,0.280000001,13.6735416,100.6063294
0102100R03,90.924,18.09,0.25999999,13.6735639,100.6062902
0102100R03,90.929,18.085,0.270000011,13.6735861,100.6062511
0102100R03,90.934,18.08,0.275000006,13.6736085,100.6062125
0102100R03,90.939,18.075,0.25999999,13.6736353,100.6061749
0102100R03,90.944,18.07,0.25,13.6736619,100.6061376
0102100R03,90.949,18.065,0.280000001,13.6736884,100.6061005
0102100R03,90.954,18.06,0.280000001,13.6737152,100.6060642
0102100R03,90.959,18.055,0.24333334,13.6737428,100.6060285
0102100R03,90.964,18.05,0.264999986,13.67377,100.6059933
0102100R03,90.969,18.045,0.24000001,13.6737973,100.605958
0102100R03,90.974,18.04,0.230000004,13.673826,100.6059218
0102100R03,90.979,18.035,0.239999995,13.6738553,100.6058854
0102100R03,90.984,18.03,0.24000001,13.6738845,100.6058492
0102100R03,90.989,18.025,0.213333324,13.6739134,100.6058132
0102100R03,90.994,18.02,0.234999999,13.6739442,100.6057773
0102100R03,90.999,18.015,0.254999995,13.6739749,100.6057417
0102100R03,91.004,18.01,0.24333334,13.6740052,100.6057064
0102100R03,91.009,18.005,0.219999999,13.6740358,100.6056711
0102100R03,91.014,18,0.199999988,13.674066,100.6056385
0102100R03,91.019,17.995,0.25,13.6740962,100.605606
0102100R03,91.024,17.99,0.25999999,13.6741263,100.6055737
0102100R03,91.029,17.985,0.254999995,13.6741566,100.6055414
0102100R03,91.034,17.98,0.273333341,13.6741892,100.6055088
0102100R03,91.039,17.975,0.216666684,13.6742216,100.6054764
0102100R03,91.044,17.97,0.25999999,13.6742538,100.6054442
0102100R03,91.049,17.965,0.109999992,13.6742863,100.6054121
0102100R03,91.054,17.96,0.173333332,13.6743195,100.6053813
0102100R03,91.059,17.955,0.155000001,13.6743529,100.6053503
0102100R03,91.064,17.95,0.224999994,13.6743862,100.6053195
0102100R03,91.069,17.945,0.239999995,13.6744196,100.6052884
0102100R03,91.074,17.94,0.25999999,13.6744534,100.605257
0102100R03,91.079,17.935,0.234999999,13.6744872,100.6052258
0102100R03,91.084,17.93,0.25666666,13.6745212,100.6051942
0102100R03,91.089,17.925,0.25999999,13.6745553,100.6051634
0102100R03,91.094,17.92,0.270000011,13.6745903,100.6051336
0102100R03,91.099,17.915,0.263333321,13.6746255,100.6051035
0102100R03,91.104,17.91,0.25,13.6746608,100.6050735
0102100R03,91.109,17.905,0.204999998,13.6746964,100.605044
0102100R03,91.114,17.9,0.276666671,13.6747328,100.6050148
0102100R03,91.119,17.895,0.276666671,13.6747692,100.6049856
0102100R03,91.124,17.89,0.275000006,13.6748059,100.6049561
0102100R03,91.129,17.885,0.280000001,13.6748369,100.6049394
0102100R03,91.134,17.88,0.263333321,13.6748664,100.6049273
0102100R03,91.139,17.875,0.25999999,13.6748961,100.6049151
0102100R03,91.144,17.87,0.263333321,13.6748916,100.6049428
0102100R03,91.149,17.865,0.24000001,13.67492052,100.6049088
0102100R03,91.154,17.86,0.199999988,13.67495772,100.6048824
0102100R03,91.159,17.855,0.175000012,13.67499462,100.6048563
0102100R03,91.164,17.85,0.266666651,13.67503172,100.60483
0102100R03,91.169,17.845,0.254999995,13.67506922,100.6048046
0102100R03,91.174,17.84,0.264999986,13.67510722,100.6047796
0102100R03,91.179,17.835,0.24666667,13.67514542,100.6047546
0102100R03,91.184,17.83,0.209999993,13.67518332,100.6047297
0102100R03,91.189,17.825,0.245000005,13.67522182,100.6047049
0102100R03,91.194,17.82,0.266666681,13.67526092,100.6046812
0102100R03,91.199,17.815,0.230000004,13.67530022,100.6046573
0102100R03,91.204,17.81,0.239999995,13.67533942,100.6046334
0102100R03,91.209,17.805,0.236666664,13.67537862,100.6046097
0102100R03,91.214,17.8,0.226666674,13.67541391,100.6045842
0102100R03,91.219,17.795,0.180000007,13.67545351,100.6045622
0102100R03,91.224,17.79,0.213333324,13.67549331,100.6045401
0102100R03,91.229,17.785,0.233333334,13.67553321,100.6045179
0102100R03,91.234,17.78,0.245000005,13.67557381,100.6044974
0102100R03,91.239,17.775,0.220000014,13.67561471,100.6044773
0102100R03,91.244,17.77,0.24333334,13.67565561,100.6044572
0102100R03,91.249,17.765,0.25,13.67569651,100.6044371
0102100R03,91.254,17.76,0.239999995,13.67573771,100.6044178
0102100R03,91.259,17.755,0.239999995,13.67577891,100.6043992
0102100R03,91.264,17.75,0.245000005,13.67582041,100.6043805
0102100R03,91.269,17.745,0.264999986,13.67586171,100.6043618
0102100R03,91.274,17.74,0.226666674,13.67590291,100.6043438
0102100R03,91.279,17.735,0.199999988,13.67594531,100.6043267
0102100R03,91.284,17.73,0.199999988,13.67599417,100.6042983
0102100R03,91.289,17.725,0.223333344,13.67603647,100.6042811
0102100R03,91.294,17.72,0.209999993,13.67607847,100.6042642
0102100R03,91.299,17.715,0.239999995,13.67612087,100.6042483
0102100R03,91.304,17.71,0.24000001,13.67616337,100.6042324
0102100R03,91.309,17.705,0.24333334,13.67620577,100.6042166
0102100R03,91.314,17.7,0.230000004,13.67624807,100.6042008
0102100R03,91.319,17.695,0.236666664,13.67629087,100.6041861
0102100R03,91.324,17.69,0.230000004,13.67633387,100.6041717
0102100R03,91.329,17.685,0.239999995,13.67637677,100.6041573
0102100R03,91.334,17.68,0.233333334,13.67641168,100.6041451
0102100R03,91.339,17.675,0.236666664,13.67645478,100.6041315
0102100R03,91.344,17.67,0.234999999,13.67649828,100.6041188
0102100R03,91.349,17.665,0.25,13.67654128,100.6041062
0102100R03,91.354,17.66,0.239999995,13.67658478,100.6040935
0102100R03,91.359,17.655,0.25,13.67662808,100.604081
0102100R03,91.364,17.65,0.204999998,13.67667208,100.6040697
0102100R03,91.369,17.645,0.183333337,13.67671578,100.6040585
0102100R03,91.374,17.64,0.204999998,13.67675948,100.6040473
0102100R03,91.379,17.635,0.239999995,13.67680348,100.604036
0102100R03,91.384,17.63,0.24333334,13.67684748,100.6040264
0102100R03,91.39,17.625,0.254999995,13.67689178,100.6040173
0102100R03,91.394,17.62,0.234999999,13.67693618,100.6040081
0102100R03,91.399,17.615,0.266666651,13.67698018,100.603999
0102100R03,91.404,17.61,0.273333341,13.67702776,100.6039811
0102100R03,91.409,17.605,0.270000011,13.67707236,100.6039724
0102100R03,91.414,17.6,0.24333334,13.67711676,100.6039638
0102100R03,91.419,17.595,0.25999999,13.67716126,100.6039551
0102100R03,91.425,17.59,0.25999999,13.67720762,100.603942
0102100R03,91.429,17.585,0.289999992,13.67725232,100.603934
0102100R03,91.434,17.58,0.24333334,13.67729682,100.603926
0102100R03,91.439,17.575,0.264999986,13.67734112,100.603918
0102100R03,91.444,17.57,0.275000006,13.67738572,100.60391
0102100R03,91.449,17.565,0.24000001,13.67743452,100.6039022
0102100R03,91.454,17.56,0.185000002,13.67747912,100.6038944
0102100R03,91.458,17.555,0.230000004,13.67752342,100.6038866
0102100R03,91.467,17.55,0.25,13.67756772,100.6038789
0102100R03,91.471,17.545,0.25999999,13.6776156,100.6038664
0102100R03,91.473,17.54,0.215000004,13.6776599,100.6038582
0102100R03,91.48,17.535,0.25333333,13.6777042,100.6038499
0102100R03,91.484,17.53,0.264999986,13.6777486,100.6038416
0102100R03,91.489,17.525,0.284999996,13.6777883,100.603839
0102100R03,91.495,17.52,0.25999999,13.677833,100.6038311
0102100R03,91.5,17.515,0.263333321,13.6778778,100.6038233
0102100R03,91.505,17.51,0.270000011,13.6779228,100.6038155
0102100R03,91.51,17.505,0.270000011,13.6779678,100.6038076
0102100R03,91.515,17.5,0.25666666,13.67801906,100.6038008
0102100R03,91.52,17.495,0.25999999,13.67806376,100.6037925
0102100R03,91.525,17.49,0.264999986,13.67810826,100.6037842
0102100R03,91.53,17.485,0.25999999,13.67815296,100.603776
0102100R03,91.535,17.48,0.254999995,13.67819508,100.6037675
0102100R03,91.54,17.475,0.270000011,13.67823958,100.6037592
0102100R03,91.545,17.47,0.273333341,13.67828438,100.6037509
0102100R03,91.55,17.465,0.254999995,13.67832868,100.6037427
0102100R03,91.555,17.46,0.245000005,13.67836737,100.6037364
0102100R03,91.56,17.455,0.236666664,13.67841167,100.6037283
0102100R03,91.565,17.45,0.245000005,13.67845577,100.6037203
0102100R03,91.57,17.445,0.245000005,13.678572,100.6036668
0102100R03,91.575,17.44,0.24333334,13.6786173,100.6036601
0102100R03,91.58,17.435,0.25333333,13.6786633,100.6036534
0102100R03,91.585,17.43,0.25999999,13.6787098,100.6036467
0102100R03,91.59,17.425,0.25,13.6787561,100.6036401
0102100R03,91.595,17.42,0.239999995,13.6788013,100.6036336
0102100R03,91.6,17.415,0.245000005,13.6788449,100.6036273
0102100R03,91.605,17.41,0.24333334,13.6788874,100.6036212
0102100R03,91.61,17.405,0.24666667,13.6789289,100.6036152
0102100R03,91.615,17.4,0.254999995,13.6789725,100.6036077
0102100R03,91.62,17.395,0.245000005,13.6790167,100.6035995
0102100R03,91.625,17.39,0.266666681,13.6790606,100.6035913
0102100R03,91.63,17.385,0.284999996,13.6791051,100.6035828
0102100R03,91.635,17.38,0.25999999,13.6791496,100.6035741
0102100R03,91.64,17.375,0.266666651,13.6791939,100.6035655
0102100R03,91.645,17.37,0.254999995,13.6792384,100.6035555
0102100R03,91.65,17.365,0.25,13.6792827,100.6035449
0102100R03,91.655,17.36,0.25,13.6793262,100.6035345
0102100R03,91.66,17.355,0.25,13.6793706,100.6035264
0102100R03,91.665,17.35,0.269999981,13.6794154,100.60352
0102100R03,91.67,17.345,0.280000001,13.6794597,100.6035137
0102100R03,91.675,17.34,0.283333331,13.6795037,100.603507
0102100R03,91.68,17.335,0.275000006,13.679548,100.6034986
0102100R03,91.685,17.33,0.25666666,13.6795917,100.6034904
0102100R03,91.69,17.325,0.263333321,13.679635,100.6034823
0102100R03,91.695,17.32,0.280000001,13.6796794,100.6034746
0102100R03,91.7,17.315,0.283333331,13.6797245,100.6034672
0102100R03,91.705,17.31,0.25333333,13.6797695,100.6034597
0102100R03,91.71,17.305,0.25,13.6798148,100.6034514
0102100R03,91.715,17.3,0.230000004,13.6798598,100.6034405
0102100R03,91.72,17.295,0.230000004,13.6799049,100.6034296
0102100R03,91.725,17.29,0.215000004,13.6799495,100.6034188
0102100R03,91.73,17.285,0.224999994,13.6799944,100.6034099
0102100R03,91.735,17.28,0.216666654,13.680039,100.6034018
0102100R03,91.74,17.275,0.189999998,13.6800832,100.6033937
0102100R03,91.745,17.27,0.170000002,13.6801269,100.6033853
0102100R03,91.75,17.265,0.25,13.6801714,100.6033746
0102100R03,91.755,17.26,0.239999995,13.6802154,100.603364
0102100R03,91.76,17.255,0.234999999,13.6802593,100.6033535
0102100R03,91.765,17.25,0.226666674,13.6803035,100.6033445
0102100R03,91.77,17.245,0.239999995,13.6803485,100.6033372
0102100R03,91.775,17.24,0.229999989,13.6803937,100.6033299
0102100R03,91.78,17.235,0.163333341,13.6804384,100.6033227
0102100R03,91.785,17.23,0.230000004,13.6804834,100.6033159
0102100R03,91.79,17.225,0.210000008,13.6805288,100.6033093
0102100R03,91.795,17.22,0.254999995,13.6805739,100.6033026
0102100R03,91.8,17.215,0.159999996,13.6806192,100.603296
0102100R03,91.805,17.21,0.185000002,13.6806637,100.6032878
0102100R03,91.81,17.205,0.200000003,13.6807083,100.6032795
0102100R03,91.815,17.2,0.226666674,13.6807531,100.6032713
0102100R03,91.82,17.195,0.209999993,13.6807976,100.603263
0102100R03,91.825,17.19,0.150000006,13.6808421,100.6032548
0102100R03,91.83,17.185,0.209999993,13.6808864,100.6032466
0102100R03,91.835,17.18,0.234999999,13.6809309,100.6032383
0102100R03,91.84,17.175,0.175000012,13.6809757,100.60323
0102100R03,91.845,17.17,0.203333333,13.6810205,100.6032217
0102100R03,91.85,17.165,0.185000002,13.6810653,100.6032133
0102100R03,91.855,17.16,0.204999998,13.6811104,100.603205
0102100R03,91.86,17.155,0.200000003,13.68116,100.6031959
0102100R03,91.865,17.15,0.196666673,13.6812109,100.6031866
0102100R03,91.87,17.145,0.114999995,13.6812609,100.6031775
0102100R03,91.875,17.14,0.140000001,13.6813112,100.6031683
0102100R03,91.88,17.135,0.123333335,13.6813613,100.6031592
0102100R03,91.885,17.13,0.159999996,13.6814112,100.6031501
0102100R03,91.89,17.125,0.180000007,13.6814609,100.603141
0102100R03,91.895,17.12,0.213333324,13.6815104,100.603132
0102100R03,91.9,17.115,0.180000007,13.68156,100.603123
0102100R03,91.905,17.11,0.164999992,13.6816095,100.6031139
0102100R03,91.91,17.105,0.193333343,13.6816582,100.6031051
0102100R03,91.915,17.1,0.185000002,13.6817071,100.6030962
0102100R03,91.92,17.095,0.200000003,13.6817552,100.6030874
0102100R03,91.925,17.09,0.120000005,13.6818033,100.6030786
0102100R03,91.93,17.085,0.119999997,13.6818505,100.60307
0102100R03,91.935,17.08,0.129999995,13.6818975,100.6030614
0102100R03,91.94,17.075,0.109999992,13.6819442,100.6030529
0102100R03,91.945,17.07,0.166666672,13.6819904,100.6030445
0102100R03,91.95,17.065,0.155000001,13.6820362,100.6030362
0102100R03,91.955,17.06,0.166666672,13.6820819,100.6030278
0102100R03,91.96,17.055,0.150000006,13.6821269,100.6030196
0102100R03,91.965,17.05,0.159999996,13.6821721,100.6030114
0102100R03,91.97,17.045,0.133333325,13.6822169,100.6030032
0102100R03,91.975,17.04,0.119999997,13.6822621,100.602995
0102100R03,91.98,17.035,0.145000011,13.6823071,100.6029868
0102100R03,91.985,17.03,0.119999997,13.682352,100.6029786
0102100R03,91.99,17.025,0.140000001,13.682397,100.6029704
0102100R03,91.995,17.02,0.13499999,13.6824421,100.6029622
0102100R03,92,17.015,0.155000001,13.6824874,100.6029539
0102100R03,92.005,17.01,0.176666662,13.6825328,100.6029456
0102100R03,92.01,17.005,0.230000004,13.6825781,100.6029374
0102100R03,92.015,17,0.145000011,13.6826235,100.6029291
0102100R03,92.02,16.995,0.176666677,13.6826692,100.6029207
0102100R03,92.025,16.99,0.145000011,13.6827149,100.6029124
0102100R03,92.03,16.985,0.13499999,13.6827607,100.6029041
0102100R03,92.035,16.98,0.153333336,13.6828062,100.6028958
0102100R03,92.04,16.975,0.186666667,13.6828522,100.6028874
0102100R03,92.045,16.97,0.219999999,13.6828983,100.602879
0102100R03,92.05,16.965,0.233333334,13.6829442,100.6028706
0102100R03,92.055,16.96,0.24666667,13.6829902,100.6028622
0102100R03,92.06,16.955,0.230000004,13.6830362,100.6028538
0102100R03,92.065,16.95,0.219999984,13.6830823,100.6028454
0102100R03,92.07,16.945,0.216666654,13.6831279,100.6028371
0102100R03,92.075,16.94,0.215000004,13.6831732,100.6028289
0102100R03,92.08,16.935,0.194999993,13.6832188,100.6028206
0102100R03,92.085,16.93,0.196666658,13.683264,100.6028123
0102100R03,92.09,16.925,0.159999996,13.6833095,100.602804
0102100R03,92.095,16.92,0.185000002,13.6833547,100.6027958
0102100R03,92.1,16.915,0.189999998,13.6834,100.6027875
0102100R03,92.105,16.91,0.210000008,13.6834457,100.6027792
